id	node1	node1;label	label	label;label	node2	node2;label
e17a	h4v2	Salvador	h4r7	capital city of	h4v3	Governo do Norte
q17a1	e17a		h4q1	start time	^1572	
q17a2	e17a		h4q2	end time	^1577	
q17a3	e17a		h4q3	stated in	h4v26	Mundo Educação - Governo Geral
e1	h4v21	Brasil Colônia	is_a	rdf:type	h4c2	Período Histórico
p10	h4v21	Brasil Colônia	h4q1	start time	^1530	
p11	h4v21	Brasil Colônia	h4q2	end time	^1815	
q11	e1		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e17b	h4v6	Rio de Janeiro	h4r7	capital city of	h4v4	Governo do Sul
q17b1	e17b		h4q1	start time	^1572	
q17b2	e17b		h4q2	end time	^1577	
q17b3	e17b		h4q3	stated in	h4v26	Mundo Educação - Governo Geral
e1	h4v21	Brasil Colônia	is_a	rdf:type	h4c2	Período Histórico
p10	h4v21	Brasil Colônia	h4q1	start time	^1530	
p11	h4v21	Brasil Colônia	h4q2	end time	^1815	
q11	e1		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e30	h4v2	Salvador	h4r7	capital city of	h4v1	Estado do Brasil
q301	e30		h4q1	start time	^1549	
q302	e30		h4q2	end time	^1572	
q303	e30		h4q3	stated in	h4v26	Mundo Educação - Governo Geral
e1	h4v21	Brasil Colônia	is_a	rdf:type	h4c2	Período Histórico
p10	h4v21	Brasil Colônia	h4q1	start time	^1530	
p11	h4v21	Brasil Colônia	h4q2	end time	^1815	
q11	e1		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
