id	node1	node1;label	label	node2	node2;label
ckg:i7h4v1	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v1	Estado do Brasil
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v15	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v15	Reino do Brasil
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v16	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v16	América Portuguesa
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v3	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v3	Governo do Norte
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v4	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v4	Governo do Sul
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v7	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v7	Reino Unido de Portugal, Brasil e Algarves
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v8	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v8	Império do Brasil
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
ckg:i7h4v8	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v8	Império do Brasil
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
