id	node1	node1;label	label	node2	node2;label
ckg:i3	ckgL1	Location	ckgr3	ckgr5:intersects	
unknown	e401		h4q3	unknown	unknown
unknown	e401		h4q4	unknown	unknown
unknown	e411		h4q3	unknown	unknown
unknown	e411		h4q4	unknown	unknown
unknown	e421		h4q3	unknown	unknown
unknown	e421		h4q4	unknown	unknown
unknown	e431		h4q3	unknown	unknown
unknown	e431		h4q4	unknown	unknown
unknown	e471		h4q3	unknown	unknown
q471	e471		h4q4	^1822	
unknown	e481		h4q3	unknown	unknown
q481	e481		h4q4	^1889	
unknown	e501		h4q3	unknown	unknown
q502	e501		h4q4	^1964	
unknown	e511		h4q3	unknown	unknown
unknown	e511		h4q4	unknown	unknown
unknown	e521		h4q3	unknown	unknown
unknown	e521		h4q4	unknown	unknown
e411	h4v1	Estado do Brasil	h4r2	POLYGON((0 0, 1 0, 1 1, 0.5 1.5, 0 1, 0 0))	
e421	h4v15	Reino do Brasil	h4r2	POLYGON((0 0, 1 0, 1.5 0.5, 1 1, 0 1, -0.5 0.5, 0 0))	
e401	h4v16	América Portuguesa	h4r2	POLYGON((0 0, 1 0, 1 1, 0 1, 0 0))	
e511	h4v3	Governo do Norte	h4r2	POLYGON((0 0, 1 0, 1.5 0.5, 1.5 1, 1.25 1.5, 1 2, 0.75 2.5, 0.5 2.75, 0 2.75, -0.25 2.5, -0.5 2, -0.75 1.5, -1 1, -0.75 0.5, -0.5 0.25, 0 0))	
e521	h4v4	Governo do Sul	h4r2	POLYGON((0 0, 1 0, 1.5 0.25, 1.75 0.75, 1.75 1.25, 1.5 1.75, 1 2, 0.5 2, 0 1.75, -0.25 1.25, -0.25 0.75, 0 0))	
e431	h4v7	Reino Unido de Portugal, Brasil e Algarves	h4r2	POLYGON((0 0, 1 0, 1.5 0.5, 1.5 1, 1 1.5, 0 1, -0.5 0.5, 0 0))	
e471	h4v8	Império do Brasil	h4r2	POLYGON((0 0, 1 0, 1.5 0.5, 1.5 1, 1 1.5, 0.5 1.5, 0 1, -0.5 0.5, 0 0))	
e481	h4v8	Império do Brasil	h4r2	POLYGON((0 0, 1 0, 1.5 0.5, 1.5 1, 1.25 1.5, 1 1.75, 0.5 1.75, 0 1.5, -0.25 1, 0 0))	
ckg:i7h4v1	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v1	Estado do Brasil
ckg:i7h4v15	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v15	Reino do Brasil
ckg:i7h4v16	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v16	América Portuguesa
ckg:i7h4v3	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v3	Governo do Norte
ckg:i7h4v4	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v4	Governo do Sul
ckg:i7h4v7	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v7	Reino Unido de Portugal, Brasil e Algarves
ckg:i7h4v8	h4v9	Estados Unidos do Brasil	ckgr5:intersects	h4v8	Império do Brasil
e53	h4v9	Estados Unidos do Brasil	h4p7	Brasil	
e501	h4v9	Estados Unidos do Brasil	h4r2	POLYGON((0 0, 1 0, 1.5 0.5, 1.5 1, 1.25 1.5, 1 1.75, 0.5 2, 0 1.75, -0.25 1.5, -0.5 1, 0 0))	
