id	node1	node1;label	label	label;label	node2	node2;label
e1	h4v21	Brasil Colônia	is_a	rdf:type	h4c2	Período Histórico
p10	h4v21	Brasil Colônia	h4q1	start time	^1530	
p11	h4v21	Brasil Colônia	h4q2	end time	^1815	
q11	e1		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e2	h4v22	Período Pré-Colonial	is_a	rdf:type	h4c2	Período Histórico
q21	e2		h4q1	start time	^1500-01-01	
q22	e2		h4q2	end time	^1530-01-01	
q23	e2		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e3	h4v11	Expedição Marítima Portuguesa	h4p1	arrival place	h4v12	América
q31	e3		h4q4	point in time	^1500-04-22	
q32	e3		h4q5	headed by	h4v37	Pedro Alváres Cabral
q33	e3		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e31	h4v16	América Portuguesa	h4p7	alias	Vera Cruz	
q311	e31		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e32	h4v16	América Portuguesa	h4p7	alias	Terra dos Papagaios	
q321	e32		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e33	h4v16	América Portuguesa	h4p7	alias	Santa Cruz	
q333	e33		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e34	h4v16	América Portuguesa	h4p7	alias	Brasil	
q341	e34		h4q4	point in time	^1512-01-01	
q342	e34		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e35	h4v16	América Portuguesa	h4r1	form of government	h4v17	Capitanias Hereditárias
q351	e35		h4q1	start time	^1534-01-01	
q352	e35		h4q2	end time	^1549-01-01	
q353	e35		h4q3	stated in	h4v25	Mundo Educação - Brasil Colônia
e350	h4v16	América Portuguesa	is_a	rdf:type	h4c1	unidade geo-política
e40	h4v16	América Portuguesa	h4p8	image	https://pt.wikipedia.org/wiki/Ficheiro:Novo_mapa_Capitanias.jpg	
q401	e40		h4q3	stated in	h4v38	Wikipedia
e351	h4v1	Estado do Brasil	is_a	rdf:type	h4c1	unidade geo-política
e7	h4v1	Estado do Brasil	h4r3	part of	h4v16	América Portuguesa
e37	h4v1	Estado do Brasil	h4p3	inception	^1548-01-01	
e38	h4v1	Estado do Brasil	h4r5	created by	h4v34	Dom João III
e39	h4v1	Estado do Brasil	h4p4	closure date	^1808-01-01	
e8	h4v1	Estado do Brasil	h4r4	colony of	h4v35	Reino de Portugal
e36	h4v1	Estado do Brasil	h4r1	form of government	h4v18	Governo Geral
q361	e36		h4q1	start time	^1548-01-01	
