node1	node1;label	relationship	relationship;label	node2	node2;label
0	RAIS_1992	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
0	RAIS_1992	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
0	RAIS_1992	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1992	
0	RAIS_1992	DAT_FONTE_ATU	Data da Fonte de Atualização	^1994-09-01	
0	RAIS_1992	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199250	
0	RAIS_1992	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
1	RAIS_1993	SGL_FONTE_ATU	Sigla da Fonte de Atualização	RAIS	
1	RAIS_1993	DSC_FONTE_ATU	Descrição da Fonte de Atualização	RELACAO ANUAL DE INFORMAÇÕES SOCIAIS	
1	RAIS_1993	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1993	
1	RAIS_1993	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-02-28	
1	RAIS_1993	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199350	
1	RAIS_1993	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
2	GAZETA_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	GAZETA	
2	GAZETA_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
2	GAZETA_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
2	GAZETA_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1994-12-01	
2	GAZETA_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199450	
2	GAZETA_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
3	REV/CONJUN_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	REV/CONJUN	
3	REV/CONJUN_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
3	REV/CONJUN_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
3	REV/CONJUN_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1994-12-01	
3	REV/CONJUN_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199450	
3	REV/CONJUN_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	R	Registro Administrativo
4	PEE_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PEE	
4	PEE_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
4	PEE_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
4	PEE_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1995-05-03	
4	PEE_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199475	
4	PEE_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
5	PATR_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PATR	
5	PATR_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	nan	
5	PATR_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
5	PATR_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-05-01	
5	PATR_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199475	
5	PATR_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
6	PAC_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PAC	
6	PAC_1994	DSC_FONTE_ATU	Descrição da Fonte de Atualização	PESQUISA ANUAL DE COMÉRCIO	
6	PAC_1994	ANO_BASE_FONTE_ATU	Ano Base da Fonte de Atualização	^1994	
6	PAC_1994	DAT_FONTE_ATU	Data da Fonte de Atualização	^1996-12-01	
6	PAC_1994	VAL_PRIORIDADE	Valor da Prioridade da Fonte de Atualização - Regra de Decisão 	199475	
6	PAC_1994	COD_TIPO_FONTE	Código do Tipo da Fonte de Atualização	I	IBGE
7	PIA_1994	SGL_FONTE_ATU	Sigla da Fonte de Atualização	PIA	
