id	node1	node1;label	label	label;label	node2	node2;label
Q11876909-P31-Q3024240-63949960-0	Q11876909	'State of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q11876909-P17-Q200464-ab4b958d-0	Q11876909	'State of Brazil'@en	P17	'country'@en	Q200464	'Portuguese Empire'@en
Q11876909-P17-Q200464-ab4b958d-0-P17	Q11876909-P17-Q200464-ab4b958d-0		ckgr9	ckg:Context Type	ckgL1	Location
Q11876909-P31-Q3024240-63949960-0	Q11876909	'State of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q11876909-P571-df34ef-3f84fbde-0	Q11876909	'State of Brazil'@en	P571	'inception'@en	^1621-06-13T00:00:00Z/11	
Q11876909-P571-df34ef-3f84fbde-0-P571	Q11876909-P571-df34ef-3f84fbde-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q11876909-P31-Q3024240-63949960-0	Q11876909	'State of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q11876909-P576-895cae-3256228c-0	Q11876909	'State of Brazil'@en	P576	'dissolved, abolished or demolished date'@en	^1815-01-01T00:00:00Z/9	
Q11876909-P576-895cae-3256228c-0-P576	Q11876909-P576-895cae-3256228c-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P31-Q3624078-4b3c9905-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q217230-P17-Q217230-69e8c07c-0	Q217230	'Empire of Brazil'@en	P17	'country'@en	Q217230	'Empire of Brazil'@en
Q217230-P17-Q217230-69e8c07c-0-P17	Q217230-P17-Q217230-69e8c07c-0		ckgr9	ckg:Context Type	ckgL1	Location
Q217230-P31-Q3024240-0e78bec7-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q217230-P17-Q217230-69e8c07c-0	Q217230	'Empire of Brazil'@en	P17	'country'@en	Q217230	'Empire of Brazil'@en
Q217230-P17-Q217230-69e8c07c-0-P17	Q217230-P17-Q217230-69e8c07c-0		ckgr9	ckg:Context Type	ckgL1	Location
Q217230-P31-Q3624078-4b3c9905-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q217230-P30-Q18-9d189008-0	Q217230	'Empire of Brazil'@en	P30	'continent'@en	Q18	'South America'@en
Q217230-P30-Q18-9d189008-0-P30	Q217230-P30-Q18-9d189008-0		ckgr9	ckg:Context Type	ckgL1	Location
Q217230-P31-Q3624078-4b3c9905-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q217230-P571-9c5ecd-090e9117-0	Q217230	'Empire of Brazil'@en	P571	'inception'@en	^1822-09-07T00:00:00Z/11	
Q217230-P571-9c5ecd-090e9117-0-P571	Q217230-P571-9c5ecd-090e9117-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P31-Q3024240-0e78bec7-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q217230-P571-9c5ecd-090e9117-0	Q217230	'Empire of Brazil'@en	P571	'inception'@en	^1822-09-07T00:00:00Z/11	
Q217230-P571-9c5ecd-090e9117-0-P571	Q217230-P571-9c5ecd-090e9117-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P31-Q3624078-4b3c9905-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q217230-P576-613a9d-c8558178-0	Q217230	'Empire of Brazil'@en	P576	'dissolved, abolished or demolished date'@en	^1889-11-15T00:00:00Z/11	
Q217230-P576-613a9d-c8558178-0-P576	Q217230-P576-613a9d-c8558178-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P31-Q3024240-0e78bec7-0	Q217230	'Empire of Brazil'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q217230-P576-613a9d-c8558178-0	Q217230	'Empire of Brazil'@en	P576	'dissolved, abolished or demolished date'@en	^1889-11-15T00:00:00Z/11	
Q217230-P576-613a9d-c8558178-0-P576	Q217230-P576-613a9d-c8558178-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P17-Q903779-ae724695-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P17	'country'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q903779-P17-Q903779-ae724695-0-P17	Q903779-P17-Q903779-ae724695-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3024240-c8351482-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3024240	'historical country'@en
Q903779-P17-Q903779-ae724695-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P17	'country'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q903779-P17-Q903779-ae724695-0-P17	Q903779-P17-Q903779-ae724695-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q15-d25cb508-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q15	'Africa'@en
Q903779-P30-Q15-d25cb508-0-P30	Q903779-P30-Q15-d25cb508-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q48-0bbf540d-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q48	'Asia'@en
Q903779-P30-Q48-0bbf540d-0-P30	Q903779-P30-Q48-0bbf540d-0		ckgr9	ckg:Context Type	ckgL1	Location
Q903779-P31-Q3624078-224d7720-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P31	'instance of'@en	Q3624078	'sovereign state'@en
Q903779-P30-Q46-dbe755be-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P30	'continent'@en	Q46	'Europe'@en
Q903779-P30-Q46-dbe755be-0-P30	Q903779-P30-Q46-dbe755be-0		ckgr9	ckg:Context Type	ckgL1	Location
