id	node1	node1;label	label	label;label	node2	node2;label
Q903779-P1365-Q11876909-91806821-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q11876909	'State of Brazil'@en
Q903779-P1365-Q11876909-91806821-0-P580	Q903779-P1365-Q11876909-91806821-0		P580	'start time'@en	unknown	
Q903779-P1365-Q11876909-91806821-0-P580-ckgT1	Q903779-P1365-Q11876909-91806821-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q903779-P1365-Q11876909-91806821-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q11876909	'State of Brazil'@en
Q903779-P1365-Q11876909-91806821-0-P585	Q903779-P1365-Q11876909-91806821-0		P585	'point in time'@en	unknown	
Q903779-P1365-Q11876909-91806821-0-P585-ckgT1	Q903779-P1365-Q11876909-91806821-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q903779-P1365-Q11876909-91806821-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q11876909	'State of Brazil'@en
Q903779-P1365-Q11876909-91806821-0-P828	Q903779-P1365-Q11876909-91806821-0		P828	'has cause'@en	unknown	
Q903779-P1365-Q11876909-91806821-0-P828-ckgP1	Q903779-P1365-Q11876909-91806821-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en
Q155-P1365-Q217230-19ed8df2-0-P580	Q155-P1365-Q217230-19ed8df2-0		P580	'start time'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0-P580-ckgT1	Q155-P1365-Q217230-19ed8df2-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en
Q155-P1365-Q217230-19ed8df2-0-P585	Q155-P1365-Q217230-19ed8df2-0		P585	'point in time'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0-P585-ckgT1	Q155-P1365-Q217230-19ed8df2-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en
Q155-P1365-Q217230-19ed8df2-0-P828	Q155-P1365-Q217230-19ed8df2-0		P828	'has cause'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0-P828-ckgP1	Q155-P1365-Q217230-19ed8df2-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q217230-P1365-Q903779-bfbd464b-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q217230-P1365-Q903779-bfbd464b-0-P580	Q217230-P1365-Q903779-bfbd464b-0		P580	'start time'@en	unknown	
Q217230-P1365-Q903779-bfbd464b-0-P580-ckgT1	Q217230-P1365-Q903779-bfbd464b-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P1365-Q903779-bfbd464b-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q217230-P1365-Q903779-bfbd464b-0-P585	Q217230-P1365-Q903779-bfbd464b-0		P585	'point in time'@en	unknown	
Q217230-P1365-Q903779-bfbd464b-0-P585-ckgT1	Q217230-P1365-Q903779-bfbd464b-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q217230-P1365-Q903779-bfbd464b-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q217230-P1365-Q903779-bfbd464b-0-P828	Q217230-P1365-Q903779-bfbd464b-0		P828	'has cause'@en	unknown	
Q217230-P1365-Q903779-bfbd464b-0-P828-ckgP1	Q217230-P1365-Q903779-bfbd464b-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q45670-P1365-Q903779-5599931b-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q45670-P1365-Q903779-5599931b-0-P580	Q45670-P1365-Q903779-5599931b-0		P580	'start time'@en	unknown	
Q45670-P1365-Q903779-5599931b-0-P580-ckgT1	Q45670-P1365-Q903779-5599931b-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45670-P1365-Q903779-5599931b-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en
Q45670-P1365-Q903779-5599931b-0-P828	Q45670-P1365-Q903779-5599931b-0		P828	'has cause'@en	unknown	
Q45670-P1365-Q903779-5599931b-0-P828-ckgP1	Q45670-P1365-Q903779-5599931b-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
