id	node1	node1;label	label	label;label	node2	node2;label
Q155-P10234-d26bb9-9a4d18c2-0-P407-Q1860-0	Q155-P10234-d26bb9-9a4d18c2-0		P407	'language of work or name'@en	Q1860	'English'@en
Q155-P10234-d6f727-c226e33a-0-P407-Q188-0	Q155-P10234-d6f727-c226e33a-0		P407	'language of work or name'@en	Q188	'German'@en
Q155-P1081-0811b0-617dd423-0-P585-615708-0	Q155-P1081-0811b0-617dd423-0		P585	'point in time'@en	^2013-01-01T00:00:00Z/9	
Q155-P1081-08cc02-159de030-0-P585-6e6a88-0	Q155-P1081-08cc02-159de030-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q155-P1081-0a0e8d-8c3627da-0-P585-2a74fa-0	Q155-P1081-0a0e8d-8c3627da-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q155-P1081-0c5704-2538cba5-0-P585-721340-0	Q155-P1081-0c5704-2538cba5-0		P585	'point in time'@en	^1996-01-01T00:00:00Z/9	
Q155-P1081-13d73d-0447145e-0-P585-7eb3ff-0	Q155-P1081-13d73d-0447145e-0		P585	'point in time'@en	^1999-01-01T00:00:00Z/9	
Q155-P1081-1741e2-12c329ef-0-P585-1bf4e9-0	Q155-P1081-1741e2-12c329ef-0		P585	'point in time'@en	^2008-01-01T00:00:00Z/9	
Q155-P1081-1ed716-736d0d26-0-P585-af2d09-0	Q155-P1081-1ed716-736d0d26-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q155-P1081-238633-e57d1fc9-0-P585-ce7871-0	Q155-P1081-238633-e57d1fc9-0		P585	'point in time'@en	^2014-01-01T00:00:00Z/9	
Q155-P1081-2393fa-c695947e-0-P585-7c0f0e-0	Q155-P1081-2393fa-c695947e-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q155-P1081-2bbcfa-111ae5d6-0-P585-edb303-0	Q155-P1081-2bbcfa-111ae5d6-0		P585	'point in time'@en	^1991-01-01T00:00:00Z/9	
Q155-P1081-32e33d-7664b0e3-0-P585-389b71-0	Q155-P1081-32e33d-7664b0e3-0		P585	'point in time'@en	^2002-01-01T00:00:00Z/9	
Q155-P1081-345681-54c43047-0-P585-0bb1a3-0	Q155-P1081-345681-54c43047-0		P585	'point in time'@en	^2006-01-01T00:00:00Z/9	
Q155-P1081-346129-ef45f556-0-P585-4c52c3-0	Q155-P1081-346129-ef45f556-0		P585	'point in time'@en	^2011-01-01T00:00:00Z/9	
Q155-P1081-56028c-630012d6-0-P585-7a375f-0	Q155-P1081-56028c-630012d6-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q155-P1081-60def3-9a1ee6db-0-P585-c47a19-0	Q155-P1081-60def3-9a1ee6db-0		P585	'point in time'@en	^2016-01-01T00:00:00Z/9	
Q155-P1081-703676-80216a4b-0-P585-603401-0	Q155-P1081-703676-80216a4b-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
Q155-P1081-72f330-76212a07-0-P585-67592c-0	Q155-P1081-72f330-76212a07-0		P585	'point in time'@en	^1997-01-01T00:00:00Z/9	
Q155-P1081-74fbab-e3a0631c-0-P585-91232f-0	Q155-P1081-74fbab-e3a0631c-0		P585	'point in time'@en	^2007-01-01T00:00:00Z/9	
Q155-P1081-7567a2-05e1586a-0-P585-979d4e-0	Q155-P1081-7567a2-05e1586a-0		P585	'point in time'@en	^2012-01-01T00:00:00Z/9	
Q155-P1081-7f09c8-66a60f0b-0-P585-d098e0-0	Q155-P1081-7f09c8-66a60f0b-0		P585	'point in time'@en	^2008-01-01T00:00:00Z/9	
Q155-P1081-7f09c8-f88bb9fd-0-P585-2d11d2-0	Q155-P1081-7f09c8-f88bb9fd-0		P585	'point in time'@en	^2009-01-01T00:00:00Z/9	
Q155-P1081-8037af-448edc44-0-P585-ef1360-0	Q155-P1081-8037af-448edc44-0		P585	'point in time'@en	^1998-01-01T00:00:00Z/9	
Q155-P1081-81998e-4b6ee302-0-P585-368ec8-0	Q155-P1081-81998e-4b6ee302-0		P585	'point in time'@en	^2004-01-01T00:00:00Z/9	
Q155-P1081-87a737-c75e1dd1-0-P585-37f2d8-0	Q155-P1081-87a737-c75e1dd1-0		P585	'point in time'@en	^1993-01-01T00:00:00Z/9	
Q155-P1081-933cb0-3aa483c2-0-P585-537ed7-0	Q155-P1081-933cb0-3aa483c2-0		P585	'point in time'@en	^2001-01-01T00:00:00Z/9	
Q155-P1081-a80a8b-3cc0cb5b-0-P585-0185a0-0	Q155-P1081-a80a8b-3cc0cb5b-0		P585	'point in time'@en	^2003-01-01T00:00:00Z/9	
Q155-P1081-a89c36-44d5a45d-0-P585-fdc07b-0	Q155-P1081-a89c36-44d5a45d-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
Q155-P1081-aecde4-18c211cd-0-P585-118730-0	Q155-P1081-aecde4-18c211cd-0		P585	'point in time'@en	^2014-01-01T00:00:00Z/9	
Q155-P1081-aecde4-6345d50b-0-P585-02d3bc-0	Q155-P1081-aecde4-6345d50b-0		P585	'point in time'@en	^2015-01-01T00:00:00Z/9	
Q155-P1081-b551d4-f6ccda33-0-P585-aa16a3-0	Q155-P1081-b551d4-f6ccda33-0		P585	'point in time'@en	^1980-01-01T00:00:00Z/9	
Q155-P1081-b65812-405f57b5-0-P585-b5ff24-0	Q155-P1081-b65812-405f57b5-0		P585	'point in time'@en	^2007-01-01T00:00:00Z/9	
Q155-P1081-b7ec9a-8876c376-0-P585-bc4c65-0	Q155-P1081-b7ec9a-8876c376-0		P585	'point in time'@en	^1994-01-01T00:00:00Z/9	
Q155-P1081-bf8000-34e5f30d-0-P585-c03b8d-0	Q155-P1081-bf8000-34e5f30d-0		P585	'point in time'@en	^1992-01-01T00:00:00Z/9	
Q155-P1081-c8b06c-09f9b151-0-P585-fe439f-0	Q155-P1081-c8b06c-09f9b151-0		P585	'point in time'@en	^2013-01-01T00:00:00Z/9	
