id	node1	node1;label	label	label;label	node2	node2;label
Q142-P36-Q3561-7b8a6c6f-0-P1264-Q565213-0	Q142-P36-Q3561-7b8a6c6f-0		P1264	'valid in period'@en	Q565213	'French Committee of National Liberation'@en
Q142-P36-Q3561-7b8a6c6f-0-P5102-Q712144-0	Q142-P36-Q3561-7b8a6c6f-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q3561-7b8a6c6f-0-P580-4b3475-0	Q142-P36-Q3561-7b8a6c6f-0		P580	'start time'@en	^1942-01-01T00:00:00Z/9	
Q142-P36-Q3561-7b8a6c6f-0-P582-94dfcf-0	Q142-P36-Q3561-7b8a6c6f-0		P582	'end time'@en	^1944-01-01T00:00:00Z/9	
Q142-P36-Q183910-874f990b-0-P1264-Q783684-0	Q142-P36-Q183910-874f990b-0		P1264	'valid in period'@en	Q783684	'Provisional Government of the French Republic'@en
Q142-P36-Q183910-874f990b-0-P1534-Q696835-0	Q142-P36-Q183910-874f990b-0		P1534	'end cause'@en	Q696835	'Liberation of Paris'@en
Q142-P36-Q183910-874f990b-0-P5102-Q712144-0	Q142-P36-Q183910-874f990b-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q183910-874f990b-0-P580-b79979-0	Q142-P36-Q183910-874f990b-0		P580	'start time'@en	^1944-06-01T00:00:00Z/10	
Q142-P36-Q183910-874f990b-0-P582-f50aae-0	Q142-P36-Q183910-874f990b-0		P582	'end time'@en	^1944-09-01T00:00:00Z/10	
Q142-P36-Q183910-874f990b-0-P828-Q16470-0	Q142-P36-Q183910-874f990b-0		P828	'has cause'@en	Q16470	'Normandy landings'@en
Q142-P36-Q1479-32f9f15c-0-P1534-Q170360-0	Q142-P36-Q1479-32f9f15c-0		P1534	'end cause'@en	Q170360	'Second Armistice at Compiègne'@en
Q142-P36-Q1479-32f9f15c-0-P5102-Q712144-0	Q142-P36-Q1479-32f9f15c-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q1479-32f9f15c-0-P580-9002eb-0	Q142-P36-Q1479-32f9f15c-0		P580	'start time'@en	^1940-06-14T00:00:00Z/11	
Q142-P36-Q1479-32f9f15c-0-P582-978c24-0	Q142-P36-Q1479-32f9f15c-0		P582	'end time'@en	^1940-06-28T00:00:00Z/11	
Q142-P36-Q1479-32f9f15c-0-P828-Q151340-0	Q142-P36-Q1479-32f9f15c-0		P828	'has cause'@en	Q151340	'Battle of France'@en
Q142-P36-Q3844-ddc9b259-0-P1264-Q2367720-0	Q142-P36-Q3844-ddc9b259-0		P1264	'valid in period'@en	Q2367720	'French Civil and Military High Command'@en
Q142-P36-Q3844-ddc9b259-0-P1534-Q565213-0	Q142-P36-Q3844-ddc9b259-0		P1534	'end cause'@en	Q565213	'French Committee of National Liberation'@en
Q142-P36-Q3844-ddc9b259-0-P5102-Q712144-0	Q142-P36-Q3844-ddc9b259-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q3844-ddc9b259-0-P580-8c8999-0	Q142-P36-Q3844-ddc9b259-0		P580	'start time'@en	^1940-01-01T00:00:00Z/9	
Q142-P36-Q3844-ddc9b259-0-P582-4b3475-0	Q142-P36-Q3844-ddc9b259-0		P582	'end time'@en	^1942-01-01T00:00:00Z/9	
Q142-P36-Q84-6a1902ec-0-P1264-Q2985550-0	Q142-P36-Q84-6a1902ec-0		P1264	'valid in period'@en	Q2985550	'French National Committee'@en
Q142-P36-Q84-6a1902ec-0-P1534-Q565213-0	Q142-P36-Q84-6a1902ec-0		P1534	'end cause'@en	Q565213	'French Committee of National Liberation'@en
Q142-P36-Q84-6a1902ec-0-P5102-Q712144-0	Q142-P36-Q84-6a1902ec-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q84-6a1902ec-0-P580-0b6bfd-0	Q142-P36-Q84-6a1902ec-0		P580	'start time'@en	^1940-06-01T00:00:00Z/10	
Q142-P36-Q84-6a1902ec-0-P582-4b3475-0	Q142-P36-Q84-6a1902ec-0		P582	'end time'@en	^1942-01-01T00:00:00Z/9	
Q142-P36-Q84-6a1902ec-0-P828-Q2078515-0	Q142-P36-Q84-6a1902ec-0		P828	'has cause'@en	Q2078515	'Appeal of 18 June'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q71084-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q71084	'First French Empire'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q2367720-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q2367720	'French Civil and Military High Command'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q565213-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q565213	'French Committee of National Liberation'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q200686-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q200686	'French Fifth Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q58296-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q58296	'French First Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q69829-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q69829	'French Fourth Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q2985550-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q2985550	'French National Committee'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q58326-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q58326	'French Second Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q70802-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q70802	'French Third Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q58202-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q58202	'July Monarchy'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q783684-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q783684	'Provisional Government of the French Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q71092-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q71092	'Second French Empire'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q69808-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q69808	'Vichy France'@en
Q142-P36-Q90-5141a3e9-0-P5102-Q29509043-0	Q142-P36-Q90-5141a3e9-0		P5102	'nature of statement'@en	Q29509043	'official'@en
Q142-P36-Q90-5141a3e9-0-P580-4825c1-0	Q142-P36-Q90-5141a3e9-0		P580	'start time'@en	^1789-10-05T00:00:00Z/11	
Q142-P36-Q90-5141a3e9-0-P828-Q1151917-0	Q142-P36-Q90-5141a3e9-0		P828	'has cause'@en	Q1151917	'Women\'s March on Versailles'@en
Q142-P36-Q288-0974b8db-0-P1534-Q151340-0	Q142-P36-Q288-0974b8db-0		P1534	'end cause'@en	Q151340	'Battle of France'@en
Q142-P36-Q288-0974b8db-0-P5102-Q712144-0	Q142-P36-Q288-0974b8db-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q288-0974b8db-0-P580-a51804-0	Q142-P36-Q288-0974b8db-0		P580	'start time'@en	^1940-06-10T00:00:00Z/11	
Q142-P36-Q288-0974b8db-0-P582-2b3763-0	Q142-P36-Q288-0974b8db-0		P582	'end time'@en	^1940-06-13T00:00:00Z/11	
Q142-P36-Q288-0974b8db-0-P828-Q151340-0	Q142-P36-Q288-0974b8db-0		P828	'has cause'@en	Q151340	'Battle of France'@en
Q142-P36-Q621-a9b4324f-0-P1264-Q70802-0	Q142-P36-Q621-a9b4324f-0		P1264	'valid in period'@en	Q70802	'French Third Republic'@en
Q142-P36-Q621-a9b4324f-0-P5102-Q712144-0	Q142-P36-Q621-a9b4324f-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q621-a9b4324f-0-P580-7c78cc-0	Q142-P36-Q621-a9b4324f-0		P580	'start time'@en	^1871-01-01T00:00:00Z/9	
Q142-P36-Q621-a9b4324f-0-P582-e4dbfa-0	Q142-P36-Q621-a9b4324f-0		P582	'end time'@en	^1879-01-01T00:00:00Z/9	
Q142-P36-Q621-a9b4324f-0-P828-Q133132-0	Q142-P36-Q621-a9b4324f-0		P828	'has cause'@en	Q133132	'Paris Commune'@en
Q142-P36-Q621-b1a60ea2-0-P1264-Q7742-0	Q142-P36-Q621-b1a60ea2-0		P1264	'valid in period'@en	Q7742	'Louis XIV of France'@en
Q142-P36-Q621-b1a60ea2-0-P1264-Q7738-0	Q142-P36-Q621-b1a60ea2-0		P1264	'valid in period'@en	Q7738	'Louis XV of France'@en
Q142-P36-Q621-b1a60ea2-0-P1264-Q7732-0	Q142-P36-Q621-b1a60ea2-0		P1264	'valid in period'@en	Q7732	'Louis XVI of France'@en
Q142-P36-Q621-b1a60ea2-0-P1534-Q1151917-0	Q142-P36-Q621-b1a60ea2-0		P1534	'end cause'@en	Q1151917	'Women\'s March on Versailles'@en
Q142-P36-Q621-b1a60ea2-0-P5102-Q29509043-0	Q142-P36-Q621-b1a60ea2-0		P5102	'nature of statement'@en	Q29509043	'official'@en
Q142-P36-Q621-b1a60ea2-0-P580-63eb20-0	Q142-P36-Q621-b1a60ea2-0		P580	'start time'@en	^1682-01-01T00:00:00Z/9	
Q142-P36-Q621-b1a60ea2-0-P582-4825c1-0	Q142-P36-Q621-b1a60ea2-0		P582	'end time'@en	^1789-10-05T00:00:00Z/11	
Q142-P36-Q621-b1a60ea2-0-P828-Q7742-0	Q142-P36-Q621-b1a60ea2-0		P828	'has cause'@en	Q7742	'Louis XIV of France'@en
Q142-P36-Q621-b1a60ea2-0-P828-Q2946-0	Q142-P36-Q621-b1a60ea2-0		P828	'has cause'@en	Q2946	'Palace of Versailles'@en
Q142-P36-Q93351-043d596f-0-P1264-Q69808-0	Q142-P36-Q93351-043d596f-0		P1264	'valid in period'@en	Q69808	'Vichy France'@en
Q142-P36-Q93351-043d596f-0-P1534-Q697829-0	Q142-P36-Q93351-043d596f-0		P1534	'end cause'@en	Q697829	'Liberation of France'@en
Q142-P36-Q93351-043d596f-0-P5102-Q712144-0	Q142-P36-Q93351-043d596f-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q93351-043d596f-0-P580-ed079d-0	Q142-P36-Q93351-043d596f-0		P580	'start time'@en	^1940-07-01T00:00:00Z/10	
