id	node1	node1;label	label	label;label	node2	node2;label
Q142-P36-Q90-5141a3e9-0-ckgr3	Q142-P36-Q90-5141a3e9-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q142-P36-Q90-5141a3e9-0-ckgr3-ckgT1	Q142-P36-Q90-5141a3e9-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q145-P36-Q84-f7211115-0-ckgr3	Q145-P36-Q84-f7211115-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q145-P36-Q84-f7211115-0-ckgr3-ckgT1	Q145-P36-Q84-f7211115-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P36-Q2844-dc7767a2-0-ckgr3	Q155-P36-Q2844-dc7767a2-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q155-P36-Q2844-dc7767a2-0-ckgr3-ckgT1	Q155-P36-Q2844-dc7767a2-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q159-P36-Q649-fd4ccdb3-0-ckgr3	Q159-P36-Q649-fd4ccdb3-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q159-P36-Q649-fd4ccdb3-0-ckgr3-ckgT1	Q159-P36-Q649-fd4ccdb3-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q183-P36-Q64-18e5392d-0-ckgr3	Q183-P36-Q64-18e5392d-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q183-P36-Q64-18e5392d-0-ckgr3-ckgT1	Q183-P36-Q64-18e5392d-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q20-P36-Q585-67ea8c51-0-ckgr3	Q20-P36-Q585-67ea8c51-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q20-P36-Q585-67ea8c51-0-ckgr3-ckgT1	Q20-P36-Q585-67ea8c51-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q37701-738a02d9-0-ckgr3	Q258-P36-Q37701-738a02d9-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q258-P36-Q37701-738a02d9-0-ckgr3-ckgT1	Q258-P36-Q37701-738a02d9-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q5465-0120ff57-0-ckgr3	Q258-P36-Q5465-0120ff57-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q258-P36-Q5465-0120ff57-0-ckgr3-ckgT1	Q258-P36-Q5465-0120ff57-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q3926-c1f34160-0-ckgr3	Q258-P36-Q3926-c1f34160-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q258-P36-Q3926-c1f34160-0-ckgr3-ckgT1	Q258-P36-Q3926-c1f34160-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q29-P36-Q2807-8982ea2d-0-ckgr3	Q29-P36-Q2807-8982ea2d-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q29-P36-Q2807-8982ea2d-0-ckgr3-ckgT1	Q29-P36-Q2807-8982ea2d-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q31-P36-Q239-74e71cdb-0-ckgr3	Q31-P36-Q239-74e71cdb-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q31-P36-Q239-74e71cdb-0-ckgr3-ckgT1	Q31-P36-Q239-74e71cdb-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q33-P36-Q1757-ee38c31d-0-ckgr3	Q33-P36-Q1757-ee38c31d-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q33-P36-Q1757-ee38c31d-0-ckgr3-ckgT1	Q33-P36-Q1757-ee38c31d-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q34-P36-Q1754-9f0d0374-0-ckgr3	Q34-P36-Q1754-9f0d0374-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q34-P36-Q1754-9f0d0374-0-ckgr3-ckgT1	Q34-P36-Q1754-9f0d0374-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q35-P36-Q1748-f8cf5998-0-ckgr3	Q35-P36-Q1748-f8cf5998-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q35-P36-Q1748-f8cf5998-0-ckgr3-ckgT1	Q35-P36-Q1748-f8cf5998-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q38-P36-Q220-e324c297-0-ckgr3	Q38-P36-Q220-e324c297-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q38-P36-Q220-e324c297-0-ckgr3-ckgT1	Q38-P36-Q220-e324c297-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q43-P36-Q3640-25dfd373-0-ckgr3	Q43-P36-Q3640-25dfd373-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q43-P36-Q3640-25dfd373-0-ckgr3-ckgT1	Q43-P36-Q3640-25dfd373-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45-P36-Q597-d1cfbdbf-0-ckgr3	Q45-P36-Q597-d1cfbdbf-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q45-P36-Q597-d1cfbdbf-0-ckgr3-ckgT1	Q45-P36-Q597-d1cfbdbf-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q55-P36-Q727-ad66a50a-0-ckgr3	Q55-P36-Q727-ad66a50a-0		ckgr3	ckg:Inferred Context	ckgl1	Corrente |Atual |Hoje
Q55-P36-Q727-ad66a50a-0-ckgr3-ckgT1	Q55-P36-Q727-ad66a50a-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
