id	node1	node1;label	label	label;label	node2	node2;label
Q258-P36-Q37701-738a02d9-0	Q258	'South Africa'@en	P36	'capital'@en	Q37701	'Bloemfontein'@en
Q258-P36-Q37701-738a02d9-0-P3831-Q105985-0	Q258-P36-Q37701-738a02d9-0		P3831	'object has role'@en	Q105985	'judiciary'@en
Q258-P36-Q5465-0120ff57-0	Q258	'South Africa'@en	P36	'capital'@en	Q5465	'Cape Town'@en
Q258-P36-Q5465-0120ff57-0-P3831-Q11204-0	Q258-P36-Q5465-0120ff57-0		P3831	'object has role'@en	Q11204	'legislature'@en
Q258-P36-Q3926-c1f34160-0	Q258	'South Africa'@en	P36	'capital'@en	Q3926	'Pretoria'@en
Q258-P36-Q3926-c1f34160-0-P3831-Q35798-0	Q258-P36-Q3926-c1f34160-0		P3831	'object has role'@en	Q35798	'executive branch'@en
Q55-P36-Q36600-7c306f5e-0	Q55	'Netherlands'@en	P36	'capital'@en	Q36600	'The Hague'@en
Q55-P36-Q36600-7c306f5e-0-P3831-Q1901835-0	Q55-P36-Q36600-7c306f5e-0		P3831	'object has role'@en	Q1901835	'seat of government'@en
Q750-P36-Q1491-349c7a24-0	Q750	'Bolivia'@en	P36	'capital'@en	Q1491	'La Paz'@en
Q750-P36-Q1491-349c7a24-0-P3831-Q35798-0	Q750-P36-Q1491-349c7a24-0		P3831	'object has role'@en	Q35798	'executive branch'@en
Q750-P36-Q2907-6fa08a5f-0	Q750	'Bolivia'@en	P36	'capital'@en	Q2907	'Sucre'@en
Q750-P36-Q2907-6fa08a5f-0-P3831-Q11204-0	Q750-P36-Q2907-6fa08a5f-0		P3831	'object has role'@en	Q11204	'legislature'@en
Q750-P36-Q2907-6fa08a5f-0	Q750	'Bolivia'@en	P36	'capital'@en	Q2907	'Sucre'@en
Q750-P36-Q2907-6fa08a5f-0-P3831-Q105985-0	Q750-P36-Q2907-6fa08a5f-0		P3831	'object has role'@en	Q105985	'judiciary'@en
