id	node1	node1;label	label	label;label	node2	node2;label
Q145-P36-Q84-f7211115-0	Q145	'United Kingdom'@en	P36	'capital'@en	Q84	'London'@en
Q145-P36-Q84-f7211115-0-P580	Q145-P36-Q84-f7211115-0		P580	'start time'@en	unknown	
Q145-P36-Q84-f7211115-0-P580-ckgT1	Q145-P36-Q84-f7211115-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q20-P36-Q585-67ea8c51-0	Q20	'Norway'@en	P36	'capital'@en	Q585	'Oslo'@en
Q20-P36-Q585-67ea8c51-0-P580	Q20-P36-Q585-67ea8c51-0		P580	'start time'@en	unknown	
Q20-P36-Q585-67ea8c51-0-P580-ckgT1	Q20-P36-Q585-67ea8c51-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q37701-738a02d9-0	Q258	'South Africa'@en	P36	'capital'@en	Q37701	'Bloemfontein'@en
Q258-P36-Q37701-738a02d9-0-P580	Q258-P36-Q37701-738a02d9-0		P580	'start time'@en	unknown	
Q258-P36-Q37701-738a02d9-0-P580-ckgT1	Q258-P36-Q37701-738a02d9-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q37701-738a02d9-0	Q258	'South Africa'@en	P36	'capital'@en	Q37701	'Bloemfontein'@en
Q258-P36-Q37701-738a02d9-0-P5102	Q258-P36-Q37701-738a02d9-0		P5102	'nature of statement'@en	unknown	
Q258-P36-Q37701-738a02d9-0-P5102-ckgG1	Q258-P36-Q37701-738a02d9-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q258-P36-Q5465-0120ff57-0	Q258	'South Africa'@en	P36	'capital'@en	Q5465	'Cape Town'@en
Q258-P36-Q5465-0120ff57-0-P580	Q258-P36-Q5465-0120ff57-0		P580	'start time'@en	unknown	
Q258-P36-Q5465-0120ff57-0-P580-ckgT1	Q258-P36-Q5465-0120ff57-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q5465-0120ff57-0	Q258	'South Africa'@en	P36	'capital'@en	Q5465	'Cape Town'@en
Q258-P36-Q5465-0120ff57-0-P5102	Q258-P36-Q5465-0120ff57-0		P5102	'nature of statement'@en	unknown	
Q258-P36-Q5465-0120ff57-0-P5102-ckgG1	Q258-P36-Q5465-0120ff57-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q258-P36-Q3926-c1f34160-0	Q258	'South Africa'@en	P36	'capital'@en	Q3926	'Pretoria'@en
Q258-P36-Q3926-c1f34160-0-P580	Q258-P36-Q3926-c1f34160-0		P580	'start time'@en	unknown	
Q258-P36-Q3926-c1f34160-0-P580-ckgT1	Q258-P36-Q3926-c1f34160-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q3926-c1f34160-0	Q258	'South Africa'@en	P36	'capital'@en	Q3926	'Pretoria'@en
Q258-P36-Q3926-c1f34160-0-P5102	Q258-P36-Q3926-c1f34160-0		P5102	'nature of statement'@en	unknown	
Q258-P36-Q3926-c1f34160-0-P5102-ckgG1	Q258-P36-Q3926-c1f34160-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q29-P36-Q2807-8982ea2d-0	Q29	'Spain'@en	P36	'capital'@en	Q2807	'Madrid'@en
Q29-P36-Q2807-8982ea2d-0-P580	Q29-P36-Q2807-8982ea2d-0		P580	'start time'@en	unknown	
Q29-P36-Q2807-8982ea2d-0-P580-ckgT1	Q29-P36-Q2807-8982ea2d-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q31-P36-Q239-74e71cdb-0	Q31	'Belgium'@en	P36	'capital'@en	Q239	'City of Brussels'@en
Q31-P36-Q239-74e71cdb-0-P580	Q31-P36-Q239-74e71cdb-0		P580	'start time'@en	unknown	
Q31-P36-Q239-74e71cdb-0-P580-ckgT1	Q31-P36-Q239-74e71cdb-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q34-P36-Q1754-9f0d0374-0	Q34	'Sweden'@en	P36	'capital'@en	Q1754	'Stockholm'@en
Q34-P36-Q1754-9f0d0374-0-P580	Q34-P36-Q1754-9f0d0374-0		P580	'start time'@en	unknown	
Q34-P36-Q1754-9f0d0374-0-P580-ckgT1	Q34-P36-Q1754-9f0d0374-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q35-P36-Q1748-f8cf5998-0	Q35	'Denmark'@en	P36	'capital'@en	Q1748	'Copenhagen'@en
Q35-P36-Q1748-f8cf5998-0-P580	Q35-P36-Q1748-f8cf5998-0		P580	'start time'@en	unknown	
Q35-P36-Q1748-f8cf5998-0-P580-ckgT1	Q35-P36-Q1748-f8cf5998-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q55-P36-Q727-ad66a50a-0	Q55	'Netherlands'@en	P36	'capital'@en	Q727	'Amsterdam'@en
Q55-P36-Q727-ad66a50a-0-P580	Q55-P36-Q727-ad66a50a-0		P580	'start time'@en	unknown	
Q55-P36-Q727-ad66a50a-0-P580-ckgT1	Q55-P36-Q727-ad66a50a-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q55-P36-Q36600-7c306f5e-0	Q55	'Netherlands'@en	P36	'capital'@en	Q36600	'The Hague'@en
Q55-P36-Q36600-7c306f5e-0-P580	Q55-P36-Q36600-7c306f5e-0		P580	'start time'@en	unknown	
Q55-P36-Q36600-7c306f5e-0-P580-ckgT1	Q55-P36-Q36600-7c306f5e-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q55-P36-Q36600-7c306f5e-0	Q55	'Netherlands'@en	P36	'capital'@en	Q36600	'The Hague'@en
Q55-P36-Q36600-7c306f5e-0-P5102	Q55-P36-Q36600-7c306f5e-0		P5102	'nature of statement'@en	unknown	
Q55-P36-Q36600-7c306f5e-0-P5102-ckgG1	Q55-P36-Q36600-7c306f5e-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q750-P36-Q2907-6fa08a5f-0	Q750	'Bolivia'@en	P36	'capital'@en	Q2907	'Sucre'@en
Q750-P36-Q2907-6fa08a5f-0-P580	Q750-P36-Q2907-6fa08a5f-0		P580	'start time'@en	unknown	
Q750-P36-Q2907-6fa08a5f-0-P580-ckgT1	Q750-P36-Q2907-6fa08a5f-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q801-P36-Q1218-7c37b2d8-0	Q801	'Israel'@en	P36	'capital'@en	Q1218	'Jerusalem'@en
Q801-P36-Q1218-7c37b2d8-0-P5102	Q801-P36-Q1218-7c37b2d8-0		P5102	'nature of statement'@en	unknown	
Q801-P36-Q1218-7c37b2d8-0-P5102-ckgG1	Q801-P36-Q1218-7c37b2d8-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
