id	node1	node1;label	label	label;label	node2	node2;label
Q971-P1081-069c6b-f79d1cd6-0-P585-ef1360-0	Q971-P1081-069c6b-f79d1cd6-0		P585	'point in time'@en	^1998-01-01T00:00:00Z/9	
Q971-P1081-0c0df9-1b120afb-0-P585-90ede1-0	Q971-P1081-0c0df9-1b120afb-0		P585	'point in time'@en	^2004-01-01T00:00:00Z/9	
Q971-P1081-12583b-c4885386-0-P585-edb303-0	Q971-P1081-12583b-c4885386-0		P585	'point in time'@en	^1991-01-01T00:00:00Z/9	
Q971-P1081-12583b-f8928d8f-0-P585-c03b8d-0	Q971-P1081-12583b-f8928d8f-0		P585	'point in time'@en	^1992-01-01T00:00:00Z/9	
Q971-P1081-128788-690f69d0-0-P585-979d4e-0	Q971-P1081-128788-690f69d0-0		P585	'point in time'@en	^2012-01-01T00:00:00Z/9	
Q971-P1081-17986f-9964a4ed-0-P585-af2d09-0	Q971-P1081-17986f-9964a4ed-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q971-P1081-17986f-c74e91f6-0-P585-d098e0-0	Q971-P1081-17986f-c74e91f6-0		P585	'point in time'@en	^2008-01-01T00:00:00Z/9	
Q971-P1081-25dfc7-3e09d8de-0-P585-4f5c4f-0	Q971-P1081-25dfc7-3e09d8de-0		P585	'point in time'@en	^2001-01-01T00:00:00Z/9	
Q971-P1081-3b28be-d49a8ade-0-P585-bc4c65-0	Q971-P1081-3b28be-d49a8ade-0		P585	'point in time'@en	^1994-01-01T00:00:00Z/9	
Q971-P1081-561d86-dd2f5ed8-0-P585-67592c-0	Q971-P1081-561d86-dd2f5ed8-0		P585	'point in time'@en	^1997-01-01T00:00:00Z/9	
Q971-P1081-5673e2-d6559843-0-P585-ce7871-0	Q971-P1081-5673e2-d6559843-0		P585	'point in time'@en	^2014-01-01T00:00:00Z/9	
Q971-P1081-5734eb-017bd3d3-0-P585-2a74fa-0	Q971-P1081-5734eb-017bd3d3-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q971-P1081-58e0d7-649930e8-0-P585-9b061c-0	Q971-P1081-58e0d7-649930e8-0		P585	'point in time'@en	^1985-01-01T00:00:00Z/9	
Q971-P1081-58e0d7-bda879cf-0-P585-6e6a88-0	Q971-P1081-58e0d7-bda879cf-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q971-P1081-62eabc-4ac5164d-0-P585-7a375f-0	Q971-P1081-62eabc-4ac5164d-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q971-P1081-683e1e-b1ae778f-0-P585-5b39e8-0	Q971-P1081-683e1e-b1ae778f-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q971-P1081-76255b-eae26c48-0-P585-fdc07b-0	Q971-P1081-76255b-eae26c48-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
