id	node1	node1;label	label	label;label	node2	node2;label
Q142-P6-Q101410-5d924d57-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q101410-5d924d57-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q101410-5d924d57-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q101410-5d924d57-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q142-P6-Q10287-c45a4a00-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q10287-c45a4a00-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q10287-c45a4a00-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q10287-c45a4a00-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q142-P6-Q20020731-552fca95-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q20020731-552fca95-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q20020731-552fca95-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q20020731-552fca95-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q142-P6-Q3171170-af62d6b4-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q3171170-af62d6b4-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q3171170-af62d6b4-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q3171170-af62d6b4-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q142-P6-Q3579995-d8b41bd5-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q3579995-d8b41bd5-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q3579995-d8b41bd5-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q3579995-d8b41bd5-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q142-P6-Q560890-68ea0680-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q560890-68ea0680-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q560890-68ea0680-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q560890-68ea0680-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q142-P6-Q7711-54c13638-0-Q142-P1313-Q1587677-c01905ab-0	Q142-P6-Q7711-54c13638-0		ckgt1	Temporal Overlaps	Q142-P1313-Q1587677-c01905ab-0	
Q142-P6-Q7711-54c13638-0-Q142-P1313-Q1587677-c01905ab-0-ckgT1	Q142-P6-Q7711-54c13638-0-Q142-P1313-Q1587677-c01905ab-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q159-P35-Q23530-53f4b02e-0-Q159-P1906-Q218295-929891cd-0	Q159-P35-Q23530-53f4b02e-0		ckgt1	Temporal Overlaps	Q159-P1906-Q218295-929891cd-0	
Q159-P35-Q23530-53f4b02e-0-Q159-P1906-Q218295-929891cd-0-ckgT1	Q159-P35-Q23530-53f4b02e-0-Q159-P1906-Q218295-929891cd-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q159-P35-Q34453-474a5fa3-0-Q159-P1906-Q218295-929891cd-0	Q159-P35-Q34453-474a5fa3-0		ckgt1	Temporal Overlaps	Q159-P1906-Q218295-929891cd-0	
Q159-P35-Q34453-474a5fa3-0-Q159-P1906-Q218295-929891cd-0-ckgT1	Q159-P35-Q34453-474a5fa3-0-Q159-P1906-Q218295-929891cd-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q159-P35-Q7747-93ce0294-0-Q159-P1906-Q218295-929891cd-0	Q159-P35-Q7747-93ce0294-0		ckgt1	Temporal Overlaps	Q159-P1906-Q218295-929891cd-0	
Q159-P35-Q7747-93ce0294-0-Q159-P1906-Q218295-929891cd-0-ckgT1	Q159-P35-Q7747-93ce0294-0-Q159-P1906-Q218295-929891cd-0		ckgr3	ckg:Inferred Context	ckgT1	Temporal
Q159-P35-Q7747-ef802403-0-Q159-P1906-Q218295-929891cd-0	Q159-P35-Q7747-ef802403-0		ckgt1	Temporal Overlaps	Q159-P1906-Q218295-929891cd-0	
