id	node1	node1;label	label	label;label	node2	node2;label
Q142-P35-Q12950-7c3d50a5-0	Q142	'France'@en	P35	'head of state'@en	Q12950	'Alain Poher'@en
Q142-P35-Q12950-7c3d50a5-0-P580-fbfbaa-0	Q142-P35-Q12950-7c3d50a5-0		P580	'start time'@en	^1969-04-28T00:00:00Z/11	
Q142-P35-Q12950-7c3d50a5-0-P580-fbfbaa-0-P580	Q142-P35-Q12950-7c3d50a5-0-P580-fbfbaa-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q12950-7c3d50a5-0	Q142	'France'@en	P35	'head of state'@en	Q12950	'Alain Poher'@en
Q142-P35-Q12950-7c3d50a5-0-P582-d45524-0	Q142-P35-Q12950-7c3d50a5-0		P582	'end time'@en	^1969-06-20T00:00:00Z/11	
Q142-P35-Q12950-7c3d50a5-0-P582-d45524-0-P582	Q142-P35-Q12950-7c3d50a5-0-P582-d45524-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q12950-f0c5114c-0	Q142	'France'@en	P35	'head of state'@en	Q12950	'Alain Poher'@en
Q142-P35-Q12950-f0c5114c-0-P580-f23da8-0	Q142-P35-Q12950-f0c5114c-0		P580	'start time'@en	^1974-04-02T00:00:00Z/11	
Q142-P35-Q12950-f0c5114c-0-P580-f23da8-0-P580	Q142-P35-Q12950-f0c5114c-0-P580-f23da8-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q12950-f0c5114c-0	Q142	'France'@en	P35	'head of state'@en	Q12950	'Alain Poher'@en
Q142-P35-Q12950-f0c5114c-0-P582-605860-0	Q142-P35-Q12950-f0c5114c-0		P582	'end time'@en	^1974-05-27T00:00:00Z/11	
Q142-P35-Q12950-f0c5114c-0-P582-605860-0-P582	Q142-P35-Q12950-f0c5114c-0-P582-605860-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q2042-961b77f2-0	Q142	'France'@en	P35	'head of state'@en	Q2042	'Charles de Gaulle'@en
Q142-P35-Q2042-961b77f2-0-P580-2714bb-0	Q142-P35-Q2042-961b77f2-0		P580	'start time'@en	^1959-01-08T00:00:00Z/11	
Q142-P35-Q2042-961b77f2-0-P580-2714bb-0-P580	Q142-P35-Q2042-961b77f2-0-P580-2714bb-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q2042-961b77f2-0	Q142	'France'@en	P35	'head of state'@en	Q2042	'Charles de Gaulle'@en
Q142-P35-Q2042-961b77f2-0-P582-fbfbaa-0	Q142-P35-Q2042-961b77f2-0		P582	'end time'@en	^1969-04-28T00:00:00Z/11	
Q142-P35-Q2042-961b77f2-0-P582-fbfbaa-0-P582	Q142-P35-Q2042-961b77f2-0-P582-fbfbaa-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q3052772-cb73d9ed-0	Q142	'France'@en	P35	'head of state'@en	Q3052772	'Emmanuel Macron'@en
Q142-P35-Q3052772-cb73d9ed-0-P580-e19ae9-0	Q142-P35-Q3052772-cb73d9ed-0		P580	'start time'@en	^2017-05-14T00:00:00Z/11	
Q142-P35-Q3052772-cb73d9ed-0-P580-e19ae9-0-P580	Q142-P35-Q3052772-cb73d9ed-0-P580-e19ae9-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q157-4a1e85c2-0	Q142	'France'@en	P35	'head of state'@en	Q157	'François Hollande'@en
Q142-P35-Q157-4a1e85c2-0-P580-759664-0	Q142-P35-Q157-4a1e85c2-0		P580	'start time'@en	^2012-05-15T00:00:00Z/11	
Q142-P35-Q157-4a1e85c2-0-P580-759664-0-P580	Q142-P35-Q157-4a1e85c2-0-P580-759664-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P35-Q157-4a1e85c2-0	Q142	'France'@en	P35	'head of state'@en	Q157	'François Hollande'@en
Q142-P35-Q157-4a1e85c2-0-P582-e19ae9-0	Q142-P35-Q157-4a1e85c2-0		P582	'end time'@en	^2017-05-14T00:00:00Z/11	
