id	node1	node1;label	label	label;label	node2	node2;label
Q142-P1313-Q3409212-6ccce57f-0	Q142	'France'@en	P1313	'office held by head of government'@en	Q3409212	'President of the Council'@en
Q142-P1313-Q3409212-6ccce57f-0-P580	Q142-P1313-Q3409212-6ccce57f-0		P580	'start time'@en	unknown	
Q142-P1313-Q3409212-6ccce57f-0-P580-ckgT1	Q142-P1313-Q3409212-6ccce57f-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q145-P1313-Q14211-c8b7a771-0	Q145	'United Kingdom'@en	P1313	'office held by head of government'@en	Q14211	'Prime Minister of the United Kingdom'@en
Q145-P1313-Q14211-c8b7a771-0-P580	Q145-P1313-Q14211-c8b7a771-0		P580	'start time'@en	unknown	
Q145-P1313-Q14211-c8b7a771-0-P580-ckgT1	Q145-P1313-Q14211-c8b7a771-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q155-P1313-Q5176750-85c807f6-0	Q155	'Brazil'@en	P1313	'office held by head of government'@en	Q5176750	'President of Brazil'@en
Q155-P1313-Q5176750-85c807f6-0-P580	Q155-P1313-Q5176750-85c807f6-0		P580	'start time'@en	unknown	
Q155-P1313-Q5176750-85c807f6-0-P580-ckgT1	Q155-P1313-Q5176750-85c807f6-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q16-P1313-Q839078-ca6f606e-0	Q16	'Canada'@en	P1313	'office held by head of government'@en	Q839078	'Prime Minister of Canada'@en
Q16-P1313-Q839078-ca6f606e-0-P580	Q16-P1313-Q839078-ca6f606e-0		P580	'start time'@en	unknown	
Q16-P1313-Q839078-ca6f606e-0-P580-ckgT1	Q16-P1313-Q839078-ca6f606e-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q183-P1313-Q4970706-767e3f1a-0	Q183	'Germany'@en	P1313	'office held by head of government'@en	Q4970706	'Federal Chancellor of Germany'@en
Q183-P1313-Q4970706-767e3f1a-0-P580	Q183-P1313-Q4970706-767e3f1a-0		P580	'start time'@en	unknown	
Q183-P1313-Q4970706-767e3f1a-0-P580-ckgT1	Q183-P1313-Q4970706-767e3f1a-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q20-P1313-Q2334076-09247974-0	Q20	'Norway'@en	P1313	'office held by head of government'@en	Q2334076	'Prime Minister of Norway'@en
Q20-P1313-Q2334076-09247974-0-P580	Q20-P1313-Q2334076-09247974-0		P580	'start time'@en	unknown	
