id	node1	node1;label	label	label;label	node2	node2;label
Q142-P1313-Q1587677-c01905ab-0-P580-2714bb-0	Q142-P1313-Q1587677-c01905ab-0		P580	'start time'@en	^1959-01-08T00:00:00Z/11	
Q142-P35-Q12950-7c3d50a5-0-P580-fbfbaa-0	Q142-P35-Q12950-7c3d50a5-0		P580	'start time'@en	^1969-04-28T00:00:00Z/11	
Q142-P35-Q12950-f0c5114c-0-P580-f23da8-0	Q142-P35-Q12950-f0c5114c-0		P580	'start time'@en	^1974-04-02T00:00:00Z/11	
Q142-P35-Q157-4a1e85c2-0-P580-759664-0	Q142-P35-Q157-4a1e85c2-0		P580	'start time'@en	^2012-05-15T00:00:00Z/11	
Q142-P35-Q158768-621b9d2d-0-P580-56791e-0	Q142-P35-Q158768-621b9d2d-0		P580	'start time'@en	^1954-01-16T00:00:00Z/11	
Q142-P35-Q158772-17b8e938-0-P580-95322a-0	Q142-P35-Q158772-17b8e938-0		P580	'start time'@en	^1947-01-16T00:00:00Z/11	
Q142-P35-Q2038-05fdabcc-0-P580-345805-0	Q142-P35-Q2038-05fdabcc-0		P580	'start time'@en	^1981-05-21T00:00:00Z/11	
Q142-P35-Q2042-961b77f2-0-P580-2714bb-0	Q142-P35-Q2042-961b77f2-0		P580	'start time'@en	^1959-01-08T00:00:00Z/11	
Q142-P35-Q2105-e65f3398-0-P580-71594d-0	Q142-P35-Q2105-e65f3398-0		P580	'start time'@en	^1995-05-17T00:00:00Z/11	
Q142-P35-Q2124-17bf43e7-0-P580-605860-0	Q142-P35-Q2124-17bf43e7-0		P580	'start time'@en	^1974-05-27T00:00:00Z/11	
Q142-P35-Q2185-e26577be-0-P580-d45524-0	Q142-P35-Q2185-e26577be-0		P580	'start time'@en	^1969-06-20T00:00:00Z/11	
Q142-P35-Q3052772-cb73d9ed-0-P580-e19ae9-0	Q142-P35-Q3052772-cb73d9ed-0		P580	'start time'@en	^2017-05-14T00:00:00Z/11	
Q142-P35-Q329-a0397f0b-0-P580-253b00-0	Q142-P35-Q329-a0397f0b-0		P580	'start time'@en	^2007-05-16T00:00:00Z/11	
Q142-P6-Q101410-5d924d57-0-P580-46661c-0	Q142-P6-Q101410-5d924d57-0		P580	'start time'@en	^2007-05-17T00:00:00Z/11	
Q142-P6-Q10287-c45a4a00-0-P580-4f3177-0	Q142-P6-Q10287-c45a4a00-0		P580	'start time'@en	^2014-03-31T00:00:00Z/11	
Q142-P6-Q20020731-552fca95-0-P580-04c78b-0	Q142-P6-Q20020731-552fca95-0		P580	'start time'@en	^2022-05-16T00:00:00Z/11	
Q142-P6-Q3171170-af62d6b4-0-P580-cafd47-0	Q142-P6-Q3171170-af62d6b4-0		P580	'start time'@en	^2020-07-03T00:00:00Z/11	
Q142-P6-Q3579995-d8b41bd5-0-P580-d7da1b-0	Q142-P6-Q3579995-d8b41bd5-0		P580	'start time'@en	^2017-05-15T00:00:00Z/11	
Q142-P6-Q560890-68ea0680-0-P580-f6c192-0	Q142-P6-Q560890-68ea0680-0		P580	'start time'@en	^2016-12-06T00:00:00Z/11	
Q142-P6-Q7711-54c13638-0-P580-27d9eb-0	Q142-P6-Q7711-54c13638-0		P580	'start time'@en	^2012-05-16T00:00:00Z/11	
Q145-P35-Q280856-860d959e-0-P580-27dd2e-0	Q145-P35-Q280856-860d959e-0		P580	'start time'@en	^1936-12-11T00:00:00Z/11	
Q145-P35-Q590227-0df684f2-0-P580-0105d9-0	Q145-P35-Q590227-0df684f2-0		P580	'start time'@en	^1936-01-20T00:00:00Z/11	
Q145-P35-Q9682-c97c192f-0-P580-6e5c60-0	Q145-P35-Q9682-c97c192f-0		P580	'start time'@en	^1952-02-06T00:00:00Z/11	
Q145-P6-Q180589-aaf2d227-0-P580-022aac-0	Q145-P6-Q180589-aaf2d227-0		P580	'start time'@en	^2019-07-24T00:00:00Z/11	
Q145-P6-Q192-df1aa9df-0-P580-92af78-0	Q145-P6-Q192-df1aa9df-0		P580	'start time'@en	^2010-05-11T00:00:00Z/11	
Q145-P6-Q264766-5f6ff48f-0-P580-e3445f-0	Q145-P6-Q264766-5f6ff48f-0		P580	'start time'@en	^2016-07-13T00:00:00Z/11	
Q155-P35-Q10304982-20d3e965-0-P580-062eaa-0	Q155-P35-Q10304982-20d3e965-0		P580	'start time'@en	^2019-01-01T00:00:00Z/11	
Q155-P35-Q230578-cbb0f2ec-0-P580-bbd26e-0	Q155-P35-Q230578-cbb0f2ec-0		P580	'start time'@en	^1995-01-01T00:00:00Z/11	
Q155-P35-Q236503-8f926bc0-0-P580-13ccac-0	Q155-P35-Q236503-8f926bc0-0		P580	'start time'@en	^1990-03-15T00:00:00Z/11	
Q155-P35-Q37181-f6e1088b-0-P580-ab09ed-0	Q155-P35-Q37181-f6e1088b-0		P580	'start time'@en	^2003-01-01T00:00:00Z/11	
