id	node1	node1;label	label	label;label	node2	node2;label
Q142-P1313-Q1587677-c01905ab-0-P582	Q142-P1313-Q1587677-c01905ab-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q159-P1313-Q842386-354ee074-0-P582	Q159-P1313-Q842386-354ee074-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q258-P1313-Q273884-fbc65a65-0-P582	Q258-P1313-Q273884-fbc65a65-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q43-P1313-Q1922067-1325b9ff-0-P582	Q43-P1313-Q1922067-1325b9ff-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q159-P1906-Q218295-929891cd-0-P582	Q159-P1906-Q218295-929891cd-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q16-P1906-Q14931511-c3c85b99-0-P582	Q16-P1906-Q14931511-c3c85b99-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q801-P1906-Q327948-99889ee0-0-P582	Q801-P1906-Q327948-99889ee0-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q142-P35-Q3052772-cb73d9ed-0-P582	Q142-P35-Q3052772-cb73d9ed-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q145-P35-Q9682-c97c192f-0-P582	Q145-P35-Q9682-c97c192f-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q155-P35-Q10304982-20d3e965-0-P582	Q155-P35-Q10304982-20d3e965-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q159-P35-Q7747-93ce0294-0-P582	Q159-P35-Q7747-93ce0294-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q16-P35-Q9682-213e563b-0-P582	Q16-P35-Q9682-213e563b-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q183-P35-Q76658-b9e1c9f2-0-P582	Q183-P35-Q76658-b9e1c9f2-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q20-P35-Q57287-0fa6280e-0-P582	Q20-P35-Q57287-0fa6280e-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q258-P35-Q1148669-1f353d73-0-P582	Q258-P35-Q1148669-1f353d73-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q29-P35-Q191045-4d3eb6c9-0-P582	Q29-P35-Q191045-4d3eb6c9-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q31-P35-Q155004-3c7ccc36-0-P582	Q31-P35-Q155004-3c7ccc36-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q33-P35-Q29207-39add093-0-P582	Q33-P35-Q29207-39add093-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
Q34-P35-Q45068-a9dc2b3d-0-P582	Q34-P35-Q45068-a9dc2b3d-0		P582	'end time'@en	^3000-01-01T00:00:00Z/11	
