id	node1	node1;label	label	label;label	node2	node2;label
Q32-P10234-82b60b-70212c0c-0-P407-Q1860-0	Q32-P10234-82b60b-70212c0c-0		P407	'language of work or name'@en	Q1860	'English'@en
Q32-P10234-9eb1c9-ae521f0c-0-P407-Q188-0	Q32-P10234-9eb1c9-ae521f0c-0		P407	'language of work or name'@en	Q188	'German'@en
Q32-P1081-068470-ef412544-0-P585-7a375f-0	Q32-P1081-068470-ef412544-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q32-P1081-0937d9-56e3c009-0-P585-4f5c4f-0	Q32-P1081-0937d9-56e3c009-0		P585	'point in time'@en	^2001-01-01T00:00:00Z/9	
Q32-P1081-14e14f-fec4c438-0-P585-7131d5-0	Q32-P1081-14e14f-fec4c438-0		P585	'point in time'@en	^2002-01-01T00:00:00Z/9	
Q32-P1081-175742-16131cde-0-P585-b5ff24-0	Q32-P1081-175742-16131cde-0		P585	'point in time'@en	^2007-01-01T00:00:00Z/9	
Q32-P1081-175742-37fe8257-0-P585-4c52c3-0	Q32-P1081-175742-37fe8257-0		P585	'point in time'@en	^2011-01-01T00:00:00Z/9	
Q32-P1081-175742-aa65a9b6-0-P585-979d4e-0	Q32-P1081-175742-aa65a9b6-0		P585	'point in time'@en	^2012-01-01T00:00:00Z/9	
Q32-P1081-1c5ca0-eb8db451-0-P585-0bb1a3-0	Q32-P1081-1c5ca0-eb8db451-0		P585	'point in time'@en	^2006-01-01T00:00:00Z/9	
Q32-P1081-200681-58f83310-0-P585-6e6a88-0	Q32-P1081-200681-58f83310-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q32-P1081-2036d8-03dfd5ec-0-P585-c03b8d-0	Q32-P1081-2036d8-03dfd5ec-0		P585	'point in time'@en	^1992-01-01T00:00:00Z/9	
Q32-P1081-22f8dc-42384237-0-P585-2a74fa-0	Q32-P1081-22f8dc-42384237-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q32-P1081-238633-f97775b8-0-P585-9b061c-0	Q32-P1081-238633-f97775b8-0		P585	'point in time'@en	^1985-01-01T00:00:00Z/9	
Q32-P1081-2a0c83-1f7a5fac-0-P585-7eb3ff-0	Q32-P1081-2a0c83-1f7a5fac-0		P585	'point in time'@en	^1999-01-01T00:00:00Z/9	
Q32-P1081-434944-67f93532-0-P585-7c0f0e-0	Q32-P1081-434944-67f93532-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q32-P1081-436528-7d52a293-0-P585-7de3d9-0	Q32-P1081-436528-7d52a293-0		P585	'point in time'@en	^2012-01-01T00:00:00Z/9	
Q32-P1081-436528-c1f75c66-0-P585-118730-0	Q32-P1081-436528-c1f75c66-0		P585	'point in time'@en	^2014-01-01T00:00:00Z/9	
Q32-P1081-436528-ceaa07c0-0-P585-fe439f-0	Q32-P1081-436528-ceaa07c0-0		P585	'point in time'@en	^2013-01-01T00:00:00Z/9	
Q32-P1081-436528-fb801919-0-P585-860d9e-0	Q32-P1081-436528-fb801919-0		P585	'point in time'@en	^2011-01-01T00:00:00Z/9	
Q32-P1081-52e316-e7841307-0-P585-af2d09-0	Q32-P1081-52e316-e7841307-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q32-P1081-556185-2ec1c850-0-P585-d098e0-0	Q32-P1081-556185-2ec1c850-0		P585	'point in time'@en	^2008-01-01T00:00:00Z/9	
Q32-P1081-556185-cd776ec0-0-P585-615708-0	Q32-P1081-556185-cd776ec0-0		P585	'point in time'@en	^2013-01-01T00:00:00Z/9	
Q32-P1081-5a875a-5d883931-0-P585-c96f54-0	Q32-P1081-5a875a-5d883931-0		P585	'point in time'@en	^2015-01-01T00:00:00Z/9	
Q32-P1081-5acd80-aa78bc66-0-P585-37f2d8-0	Q32-P1081-5acd80-aa78bc66-0		P585	'point in time'@en	^1993-01-01T00:00:00Z/9	
Q32-P1081-5f9a60-5652c04b-0-P585-67592c-0	Q32-P1081-5f9a60-5652c04b-0		P585	'point in time'@en	^1997-01-01T00:00:00Z/9	
Q32-P1081-6615c5-18fe6e12-0-P585-1c1780-0	Q32-P1081-6615c5-18fe6e12-0		P585	'point in time'@en	^2005-01-01T00:00:00Z/9	
Q32-P1081-9580f1-06de9e6e-0-P585-5b39e8-0	Q32-P1081-9580f1-06de9e6e-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q32-P1081-aa188f-345e87ec-0-P585-603401-0	Q32-P1081-aa188f-345e87ec-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
Q32-P1081-ab4a9c-70ab912e-0-P585-aa16a3-0	Q32-P1081-ab4a9c-70ab912e-0		P585	'point in time'@en	^1980-01-01T00:00:00Z/9	
Q32-P1081-ab56ba-a08ded10-0-P585-90ede1-0	Q32-P1081-ab56ba-a08ded10-0		P585	'point in time'@en	^2004-01-01T00:00:00Z/9	
Q32-P1081-b3b0f8-1d59433a-0-P585-ce7871-0	Q32-P1081-b3b0f8-1d59433a-0		P585	'point in time'@en	^2014-01-01T00:00:00Z/9	
Q32-P1081-c0abb6-ae807c67-0-P585-fdc07b-0	Q32-P1081-c0abb6-ae807c67-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
Q32-P1081-c0c2d1-a707dccf-0-P585-26b8c1-0	Q32-P1081-c0c2d1-a707dccf-0		P585	'point in time'@en	^2009-01-01T00:00:00Z/9	
Q32-P1081-c11529-f96f3d25-0-P585-ef1360-0	Q32-P1081-c11529-f96f3d25-0		P585	'point in time'@en	^1998-01-01T00:00:00Z/9	
Q32-P1081-cf133d-c3c53ed1-0-P585-5035f4-0	Q32-P1081-cf133d-c3c53ed1-0		P585	'point in time'@en	^2005-01-01T00:00:00Z/9	
Q32-P1081-d3e37b-ba400678-0-P585-edb303-0	Q32-P1081-d3e37b-ba400678-0		P585	'point in time'@en	^1991-01-01T00:00:00Z/9	
Q32-P1081-e01a99-e3f15d6b-0-P585-c47a19-0	Q32-P1081-e01a99-e3f15d6b-0		P585	'point in time'@en	^2016-01-01T00:00:00Z/9	
Q32-P1081-e01a99-eb8f321b-0-P585-f1c5a2-0	Q32-P1081-e01a99-eb8f321b-0		P585	'point in time'@en	^2017-01-01T00:00:00Z/9	
Q32-P1081-e36c61-77869f47-0-P585-bc4c65-0	Q32-P1081-e36c61-77869f47-0		P585	'point in time'@en	^1994-01-01T00:00:00Z/9	
Q32-P1081-ebae44-ac346d24-0-P585-721340-0	Q32-P1081-ebae44-ac346d24-0		P585	'point in time'@en	^1996-01-01T00:00:00Z/9	
Q32-P1081-f3bce1-7a5d9618-0-P585-e4bef8-0	Q32-P1081-f3bce1-7a5d9618-0		P585	'point in time'@en	^2003-01-01T00:00:00Z/9	
