id	node1	node1;label	label	label;label	node2	node2;label
Q96-P571-4c1245-c3d094e3-0	Q96	'Mexico'@en	P571	'inception'@en	^1810-09-16T00:00:00Z/11	
Q96-P571-4c1245-c3d094e3-0-P805-Q1131780-0	Q96-P571-4c1245-c3d094e3-0		P805	'statement is subject of'@en	Q1131780	'Declaration of Independence of the Mexican Empire'@en
Q96-P571-4c1245-c3d094e3-0-P805-Q1131780-0-P805	Q96-P571-4c1245-c3d094e3-0-P805-Q1131780-0		ckgr9	ckg:Context Type	ckgP1	Provenance
Q96-P571-4c1245-c3d094e3-0	Q96	'Mexico'@en	P571	'inception'@en	^1810-09-16T00:00:00Z/11	
Q96-P571-4c1245-c3d094e3-0-P805-Q1145411-0	Q96-P571-4c1245-c3d094e3-0		P805	'statement is subject of'@en	Q1145411	'Grito de Dolores'@en
Q96-P571-4c1245-c3d094e3-0-P805-Q1145411-0-P805	Q96-P571-4c1245-c3d094e3-0-P805-Q1145411-0		ckgr9	ckg:Context Type	ckgP1	Provenance
Q96-P571-532906-27747016-0	Q96	'Mexico'@en	P571	'inception'@en	^1836-12-01T00:00:00Z/10	
Q96-P571-532906-27747016-0-P805-Q190025-0	Q96-P571-532906-27747016-0		P805	'statement is subject of'@en	Q190025	'Federal Republic of Central America'@en
Q96-P571-532906-27747016-0-P805-Q190025-0-P805	Q96-P571-532906-27747016-0-P805-Q190025-0		ckgr9	ckg:Context Type	ckgP1	Provenance
Q96-P571-79d8e7-8df81a0f-0	Q96	'Mexico'@en	P571	'inception'@en	^1821-09-28T00:00:00Z/11	
Q96-P571-79d8e7-8df81a0f-0-P805-Q1131780-0	Q96-P571-79d8e7-8df81a0f-0		P805	'statement is subject of'@en	Q1131780	'Declaration of Independence of the Mexican Empire'@en
Q96-P571-79d8e7-8df81a0f-0-P805-Q1131780-0-P805	Q96-P571-79d8e7-8df81a0f-0-P805-Q1131780-0		ckgr9	ckg:Context Type	ckgP1	Provenance
