id	node1	node1;label	label	label;label	node2	node2;label
Q96-P1081-024067-646ff69c-0-P585-aa16a3-0	Q96-P1081-024067-646ff69c-0		P585	'point in time'@en	^1980-01-01T00:00:00Z/9	
Q96-P1081-0808f1-21e40125-0-P585-118730-0	Q96-P1081-0808f1-21e40125-0		P585	'point in time'@en	^2014-01-01T00:00:00Z/9	
Q96-P1081-0808f1-bdfabc3d-0-P585-fe439f-0	Q96-P1081-0808f1-bdfabc3d-0		P585	'point in time'@en	^2013-01-01T00:00:00Z/9	
Q96-P1081-08cc02-05130edb-0-P585-90ede1-0	Q96-P1081-08cc02-05130edb-0		P585	'point in time'@en	^2004-01-01T00:00:00Z/9	
Q96-P1081-0a0e8d-9553d39a-0-P585-7c0f0e-0	Q96-P1081-0a0e8d-9553d39a-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q96-P1081-0b5000-cd665b11-0-P585-1c1780-0	Q96-P1081-0b5000-cd665b11-0		P585	'point in time'@en	^2005-01-01T00:00:00Z/9	
Q96-P1081-0c3f95-2a8d97df-0-P585-7131d5-0	Q96-P1081-0c3f95-2a8d97df-0		P585	'point in time'@en	^2002-01-01T00:00:00Z/9	
Q96-P1081-2b14a4-38d14b92-0-P585-6e6a88-0	Q96-P1081-2b14a4-38d14b92-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q96-P1081-2b53b6-c2e46ffd-0-P585-f1c5a2-0	Q96-P1081-2b53b6-c2e46ffd-0		P585	'point in time'@en	^2017-01-01T00:00:00Z/9	
Q96-P1081-32e33d-119609df-0-P585-fdc07b-0	Q96-P1081-32e33d-119609df-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
Q96-P1081-345681-7d96b1e4-0-P585-603401-0	Q96-P1081-345681-7d96b1e4-0		P585	'point in time'@en	^2000-01-01T00:00:00Z/9	
Q96-P1081-3960a4-6192a49a-0-P585-67592c-0	Q96-P1081-3960a4-6192a49a-0		P585	'point in time'@en	^1997-01-01T00:00:00Z/9	
Q96-P1081-3be658-6143260c-0-P585-c96f54-0	Q96-P1081-3be658-6143260c-0		P585	'point in time'@en	^2015-01-01T00:00:00Z/9	
Q96-P1081-5a479c-0ea55e78-0-P585-721340-0	Q96-P1081-5a479c-0ea55e78-0		P585	'point in time'@en	^1996-01-01T00:00:00Z/9	
Q96-P1081-5d0d6f-bb19a25b-0-P585-5b39e8-0	Q96-P1081-5d0d6f-bb19a25b-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q96-P1081-66df8e-c309f8d0-0-P585-e4bef8-0	Q96-P1081-66df8e-c309f8d0-0		P585	'point in time'@en	^2003-01-01T00:00:00Z/9	
Q96-P1081-6c944c-edcf64fb-0-P585-d098e0-0	Q96-P1081-6c944c-edcf64fb-0		P585	'point in time'@en	^2008-01-01T00:00:00Z/9	
Q96-P1081-8037af-4bf7e516-0-P585-bc4c65-0	Q96-P1081-8037af-4bf7e516-0		P585	'point in time'@en	^1994-01-01T00:00:00Z/9	
Q96-P1081-8037af-fa9bc915-0-P585-2a74fa-0	Q96-P1081-8037af-fa9bc915-0		P585	'point in time'@en	^1995-01-01T00:00:00Z/9	
Q96-P1081-846333-04130089-0-P585-26b8c1-0	Q96-P1081-846333-04130089-0		P585	'point in time'@en	^2009-01-01T00:00:00Z/9	
Q96-P1081-846333-2bf12100-0-P585-7a375f-0	Q96-P1081-846333-2bf12100-0		P585	'point in time'@en	^2010-01-01T00:00:00Z/9	
Q96-P1081-85ef51-70462dc9-0-P585-c03b8d-0	Q96-P1081-85ef51-70462dc9-0		P585	'point in time'@en	^1992-01-01T00:00:00Z/9	
Q96-P1081-91c34a-eb798f58-0-P585-af2d09-0	Q96-P1081-91c34a-eb798f58-0		P585	'point in time'@en	^1990-01-01T00:00:00Z/9	
Q96-P1081-965107-2d568a98-0-P585-860d9e-0	Q96-P1081-965107-2d568a98-0		P585	'point in time'@en	^2011-01-01T00:00:00Z/9	
