id	node1	node1;label	label	label;label	node2	node2;label
ckg:c6-9dd958-1d8ca857-0-P585	Q971-P3896-9dd958-1d8ca857-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c6-eb023aa9-0-P585	Q974-P3896-98cc94-eb023aa9-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q971-P17-Q971-95dd6e89-0-P17	Q971-P17-Q971-95dd6e89-0		ckgr9	ckg:Context Type	ckgL1	Location
Q971-P17-Q971-95dd6e89-0	Q971	'Republic of the Congo'@en	P17	'country'@en	Q971	'Republic of the Congo'@en
Q971-P30-Q15-e29a51cd-0-P30	Q971-P30-Q15-e29a51cd-0		ckgr9	ckg:Context Type	ckgL1	Location
Q971-P30-Q15-e29a51cd-0	Q971	'Republic of the Congo'@en	P30	'continent'@en	Q15	'Africa'@en
Q971-P31-Q3624078-331eeb2e-0	Q971	'Republic of the Congo'@en	P31	P31	Q3624078	'sovereign state'@en
Q971-P31-Q6256-a01f8795-0	Q971	'Republic of the Congo'@en	P31	P31	Q6256	'country'@en
Q971-P3896-9dd958-1d8ca857-0-P585	Q971-P3896-9dd958-1d8ca857-0		P585	'point in time'@en	unknown	
Q971-P3896-9dd958-1d8ca857-0	Q971	'Republic of the Congo'@en	P3896	'geoshape'@en	"Data:Republic of Congo.map"	
Q971-P571-3520e1-a08a137f-0-P571	Q971-P571-3520e1-a08a137f-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q971-P571-3520e1-a08a137f-0	Q971	'Republic of the Congo'@en	P571	'inception'@en	^1960-01-01T00:00:00Z/9	
Q974-P17-Q974-c1df9d0e-0-P17	Q974-P17-Q974-c1df9d0e-0		ckgr9	ckg:Context Type	ckgL1	Location
Q974-P17-Q974-c1df9d0e-0	Q974	'Democratic Republic of the Congo'@en	P17	'country'@en	Q974	'Democratic Republic of the Congo'@en
Q974-P30-Q15-71d5f7ad-0-P30	Q974-P30-Q15-71d5f7ad-0		ckgr9	ckg:Context Type	ckgL1	Location
Q974-P30-Q15-71d5f7ad-0	Q974	'Democratic Republic of the Congo'@en	P30	'continent'@en	Q15	'Africa'@en
Q974-P31-Q3624078-07f99e15-0	Q974	'Democratic Republic of the Congo'@en	P31	P31	Q3624078	'sovereign state'@en
Q974-P31-Q6256-63e9d026-0	Q974	'Democratic Republic of the Congo'@en	P31	P31	Q6256	'country'@en
Q974-P3896-98cc94-eb023aa9-0-P585	Q974-P3896-98cc94-eb023aa9-0		P585	'point in time'@en	unknown	
Q974-P3896-98cc94-eb023aa9-0	Q974	'Democratic Republic of the Congo'@en	P3896	'geoshape'@en	"Data:DR Congo.map"	
Q974-P571-938147-2440b1f8-0-P571	Q974-P571-938147-2440b1f8-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q974-P571-938147-2440b1f8-0	Q974	'Democratic Republic of the Congo'@en	P571	'inception'@en	^1960-06-30T00:00:00Z/11	
