id	node1	node1;label	label	label;label	node2	node2;label
Q142-P36-Q90-5141a3e9-0	Q142	'France'@en	P36	'capital'@en	Q90	'Paris'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q200686-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q200686	'French Fifth Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q200686-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q200686-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q2367720-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q2367720	'French Civil and Military High Command'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q2367720-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q2367720-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q2985550-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q2985550	'French National Committee'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q2985550-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q2985550-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q565213-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q565213	'French Committee of National Liberation'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q565213-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q565213-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q58202-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q58202	'July Monarchy'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q58202-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q58202-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q58296-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q58296	'French First Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q58296-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q58296-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q58326-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q58326	'French Second Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q58326-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q58326-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q69808-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q69808	'Vichy France'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q69808-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q69808-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q69829-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q69829	'French Fourth Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q69829-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q69829-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q70802-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q70802	'French Third Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q70802-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q70802-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q71084-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q71084	'First French Empire'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q71084-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q71084-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q71092-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q71092	'Second French Empire'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q71092-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q71092-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P1264-Q783684-0	Q142-P36-Q90-5141a3e9-0		P1264	'valid in period'@en	Q783684	'Provisional Government of the French Republic'@en
Q142-P36-Q90-5141a3e9-0-P1264-Q783684-0-P1264	Q142-P36-Q90-5141a3e9-0-P1264-Q783684-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0	Q142-P36-Q90-5141a3e9-0		P5102	'nature of statement'@en	Q712144	'de facto'@en
Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0-P5102	Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0		ckgr9	ckg:Context Type	ckgG1	Generic
Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0-P854	Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0		P854	'reference URL'@en	https://rm.coe.int/status-of-capital-cities/16807199af	
Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0-P854-ckgP1	Q142-P36-Q90-5141a3e9-0-P5102-Q132555-0-P854		ckgr9	ckg:Context Type	ckgP1	Provenance
Q142-P36-Q90-5141a3e9-0-P5102-Q29509043-0	Q142-P36-Q90-5141a3e9-0		P5102	'nature of statement'@en	Q29509043	'official'@en
Q142-P36-Q90-5141a3e9-0-P5102-Q29509043-0-P5102	Q142-P36-Q90-5141a3e9-0-P5102-Q29509043-0		ckgr9	ckg:Context Type	ckgG1	Generic
Q142-P36-Q90-5141a3e9-0-P580-4825c1-0	Q142-P36-Q90-5141a3e9-0		P580	'start time'@en	^1789-10-05T00:00:00Z/11	
Q142-P36-Q90-5141a3e9-0-P580-4825c1-0-P580	Q142-P36-Q90-5141a3e9-0-P580-4825c1-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q142-P36-Q90-5141a3e9-0-P828-Q1151917-0	Q142-P36-Q90-5141a3e9-0		P828	'has cause'@en	Q1151917	'Women\'s March on Versailles'@en
Q142-P36-Q90-5141a3e9-0-P828-Q1151917-0-P828	Q142-P36-Q90-5141a3e9-0-P828-Q1151917-0		ckgr9	ckg:Context Type	ckgP1	Provenance
Q142-P36-Q90-5141a3e9-0-ckgr3	Q142-P36-Q90-5141a3e9-0		ckgr3	ckg:Inferred Context	ckgl1	Atual |Corrente |Hoje
Q142-P36-Q90-5141a3e9-0-ckgr3-ckgT1	Q142-P36-Q90-5141a3e9-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
