id	node1	node1;label	label	label;label	node2	node2;label
Q801-P1313-Q208487-41c66407-0	Q801	'Israel'@en	P1313	'office held by head of government'@en	Q208487	'Prime Minister of Israel'@en
Q801-P1906-Q327948-99889ee0-0	Q801	'Israel'@en	P1906	'office held by head of state'@en	Q327948	'President of Israel'@en
Q801-P1906-Q62119441-b59fc8a4-0	Q801	'Israel'@en	P1906	'office held by head of state'@en	Q62119441	'President of the Provisional State Council'@en
Q801-P35-Q110330-56446b19-0	Q801	'Israel'@en	P35	'head of state'@en	Q110330	'Ephraim Katzir'@en
Q801-P35-Q128894-66b15521-0	Q801	'Israel'@en	P35	'head of state'@en	Q128894	'Yitzhak Ben-Zvi'@en
Q801-P35-Q128911-2e5fa690-0	Q801	'Israel'@en	P35	'head of state'@en	Q128911	'Ezer Weizman'@en
Q801-P35-Q1720966-21857583-0	Q801	'Israel'@en	P35	'head of state'@en	Q1720966	'Kadish Luz'@en
Q801-P35-Q172183-0317af7b-0	Q801	'Israel'@en	P35	'head of state'@en	Q172183	'Chaim Weizmann'@en
Q801-P35-Q172183-f929ea7e-0	Q801	'Israel'@en	P35	'head of state'@en	Q172183	'Chaim Weizmann'@en
Q801-P35-Q181832-76bce024-0	Q801	'Israel'@en	P35	'head of state'@en	Q181832	'Moshe Katsav'@en
Q801-P35-Q234190-e684cc37-0	Q801	'Israel'@en	P35	'head of state'@en	Q234190	'Dalia Itzik'@en
Q801-P35-Q295141-ea19e0d9-0	Q801	'Israel'@en	P35	'head of state'@en	Q295141	'Chaim Herzog'@en
Q801-P35-Q299100-bf6d932a-0	Q801	'Israel'@en	P35	'head of state'@en	Q299100	'Zalman Shazar'@en
Q801-P35-Q311583-6fd352ee-0	Q801	'Israel'@en	P35	'head of state'@en	Q311583	'Yitzhak Navon'@en
Q801-P35-Q37610-12600f81-0	Q801	'Israel'@en	P35	'head of state'@en	Q37610	'David Ben-Gurion'@en
Q801-P35-Q455854-b474578d-0	Q801	'Israel'@en	P35	'head of state'@en	Q455854	'Reuven Rivlin'@en
Q801-P35-Q57410-72616807-0	Q801	'Israel'@en	P35	'head of state'@en	Q57410	'Shimon Peres'@en
Q801-P35-Q736237-f6c08bcd-0	Q801	'Israel'@en	P35	'head of state'@en	Q736237	'Avraham Burg'@en
Q801-P35-Q974766-7a37c6dd-0	Q801	'Israel'@en	P35	'head of state'@en	Q974766	'Yosef Sprinzak'@en
Q801-P35-Q983258-57bf9109-0	Q801	'Israel'@en	P35	'head of state'@en	Q983258	'Isaac Herzog'@en
Q801-P6-Q125731-c659a8b6-0	Q801	'Israel'@en	P6	'head of government'@en	Q125731	'Ehud Barak'@en
Q801-P6-Q130873-aa9ea1c2-0	Q801	'Israel'@en	P6	'head of government'@en	Q130873	'Menachem Begin'@en
Q801-P6-Q184351-26cdaa95-0	Q801	'Israel'@en	P6	'head of government'@en	Q184351	'Yitzhak Shamir'@en
Q801-P6-Q184351-dc45627c-0	Q801	'Israel'@en	P6	'head of government'@en	Q184351	'Yitzhak Shamir'@en
Q801-P6-Q191123-7f7e206e-0	Q801	'Israel'@en	P6	'head of government'@en	Q191123	'Levi Eshkol'@en
Q801-P6-Q208477-a9e6e0ad-0	Q801	'Israel'@en	P6	'head of government'@en	Q208477	'Moshe Sharett'@en
Q801-P6-Q34060-142d66dc-0	Q801	'Israel'@en	P6	'head of government'@en	Q34060	'Yizhak Rabin'@en
Q801-P6-Q34060-dd5cb6a2-0	Q801	'Israel'@en	P6	'head of government'@en	Q34060	'Yizhak Rabin'@en
Q801-P6-Q37610-0feb0ef6-0	Q801	'Israel'@en	P6	'head of government'@en	Q37610	'David Ben-Gurion'@en
Q801-P6-Q37610-92fbea7e-0	Q801	'Israel'@en	P6	'head of government'@en	Q37610	'David Ben-Gurion'@en
Q801-P6-Q39318-bb084493-0	Q801	'Israel'@en	P6	'head of government'@en	Q39318	'Naftali Bennett'@en
Q801-P6-Q42992-6f27d3cf-0	Q801	'Israel'@en	P6	'head of government'@en	Q42992	'Golda Meir'@en
Q801-P6-Q43723-9524c239-0	Q801	'Israel'@en	P6	'head of government'@en	Q43723	'Benjamin Netanyahu'@en
Q801-P6-Q43723-f14a5fb2-0	Q801	'Israel'@en	P6	'head of government'@en	Q43723	'Benjamin Netanyahu'@en
Q801-P6-Q57410-1d223148-0	Q801	'Israel'@en	P6	'head of government'@en	Q57410	'Shimon Peres'@en
Q801-P6-Q57410-61a74e91-0	Q801	'Israel'@en	P6	'head of government'@en	Q57410	'Shimon Peres'@en
Q801-P6-Q60206-5637fe48-0	Q801	'Israel'@en	P6	'head of government'@en	Q60206	'Ariel Sharon'@en
Q801-P6-Q93181-203f09c2-0	Q801	'Israel'@en	P6	'head of government'@en	Q93181	'Ehud Olmert'@en
