id	node1	node1;label	label	label;label	node2	node2;label
ckg:c20-46b6b8b6-0-P828	Q2608489-P576-1d2dab-46b6b8b6-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
ckg:c20-7606e02a-0-P828	Q285658-P576-f09f24-7606e02a-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
ckg:c20-15130118-0-P828	Q5788450-P576-09d178-15130118-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
ckg:c20-051f565c-0-P828	Q671658-P576-aced6f-051f565c-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
ckg:c22-88adc7f1-0-P805	Q96-P571-152919-88adc7f1-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
ckg:c2-46b6b8b6-0-P580	Q2608489-P576-1d2dab-46b6b8b6-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c2-7606e02a-0-P580	Q285658-P576-f09f24-7606e02a-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c2-15130118-0-P580	Q5788450-P576-09d178-15130118-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c2-051f565c-0-P580	Q671658-P576-aced6f-051f565c-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c6-46b6b8b6-0-P585	Q2608489-P576-1d2dab-46b6b8b6-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c6-7606e02a-0-P585	Q285658-P576-f09f24-7606e02a-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c6-7606e02a-0-P585	Q5788450-P576-09d178-15130118-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
ckg:c6-15130118-0-P585	Q671658-P576-aced6f-051f565c-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q2608489-P31-Q3024240-feb4d18c-0	Q2608489	'Aztec Empire'@en	P31	P31	Q3024240	'historical country'@en
Q2608489-P571-8a4b9f-b92a0bb9-0-P571	Q2608489-P571-8a4b9f-b92a0bb9-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q2608489-P571-8a4b9f-b92a0bb9-0	Q2608489	'Aztec Empire'@en	P571	'inception'@en	^1428-01-01T00:00:00Z/9	
Q2608489-P576-1d2dab-46b6b8b6-0-P576	Q2608489-P576-1d2dab-46b6b8b6-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q2608489-P576-1d2dab-46b6b8b6-0-P580	Q2608489-P576-1d2dab-46b6b8b6-0		P580	'start time'@en	unknown	
Q2608489-P576-1d2dab-46b6b8b6-0-P585	Q2608489-P576-1d2dab-46b6b8b6-0		P585	'point in time'@en	unknown	
Q2608489-P576-1d2dab-46b6b8b6-0-P828	Q2608489-P576-1d2dab-46b6b8b6-0		P828	'has cause'@en	unknown	
Q2608489-P576-1d2dab-46b6b8b6-0	Q2608489	'Aztec Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1521-08-13T00:00:00Z/11	
Q2608489-P576-1d2dab-46b6b8b6-0	Q2608489	'Aztec Empire'@en	P576	P576	^1521-08-13T00:00:00Z/11	
Q285658-P17-Q96-73586c2b-0-P17	Q285658-P17-Q96-73586c2b-0		ckgr9	ckg:Context Type	ckgL1	Location
Q285658-P17-Q96-73586c2b-0	Q285658	'First Mexican Empire'@en	P17	'country'@en	Q96	'Mexico'@en
Q285658-P31-Q3024240-d74775fa-0	Q285658	'First Mexican Empire'@en	P31	P31	Q3024240	'historical country'@en
Q285658-P571-83ae7d-5bb18787-0-P571	Q285658-P571-83ae7d-5bb18787-0		ckgr9	ckg:Context Type	ckgT1	Temporal
Q285658-P571-83ae7d-5bb18787-0	Q285658	'First Mexican Empire'@en	P571	'inception'@en	^1822-05-19T00:00:00Z/11	
Q285658-P576-f09f24-7606e02a-0-P576	Q285658-P576-f09f24-7606e02a-0		ckgr9	ckg:Context Type	ckgT1	Temporal
