id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P2936-Q2829146-98c57805-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2829146	'Acroá'@en	wikibase-item								
Q155-P2936-Q3508007-4048f129-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3508007	'Agavotaguerra'@en	wikibase-item								
Q155-P2936-Q3409307-84a8b6e0-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3409307	'Aikanã'@en	wikibase-item								
Q155-P2936-Q28059-6fb61870-0	Q155	'Brazil'@en	P2936	'language used'@en	Q28059	'Akawaio'@en	wikibase-item								
Q155-P2936-Q4701960-ba7f4010-0	Q155	'Brazil'@en	P2936	'language used'@en	Q4701960	'Akuntsu'@en	wikibase-item								
Q155-P2936-Q2669150-a29f092a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2669150	'Amahuaca'@en	wikibase-item								
Q155-P2936-Q3508053-9299d565-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3508053	'Amanayé'@en	wikibase-item								
Q155-P2936-Q3915522-4fccad71-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3915522	'Amonap'@en	wikibase-item								
Q155-P2936-Q12626847-97c21293-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12626847	'Amundava'@en	wikibase-item								
Q155-P2936-Q3507873-d66cac0b-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3507873	'Anambé'@en	wikibase-item								
Q155-P2936-Q2736980-2402f780-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2736980	'Apalaí'@en	wikibase-item								
Q155-P2936-Q3507941-7f08339a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3507941	'Apiaká'@en	wikibase-item								
Q155-P2936-Q2858311-ab472db3-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2858311	'Apinayé'@en	wikibase-item								
Q155-P2936-Q2859081-1b2efd23-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2859081	'Apurinã'@en	wikibase-item								
Q155-P2936-Q9627356-431b77ce-0	Q155	'Brazil'@en	P2936	'language used'@en	Q9627356	'Arap'@en	wikibase-item								
Q155-P2936-Q63339949-e8c68800-0	Q155	'Brazil'@en	P2936	'language used'@en	Q63339949	'Ararandewára'@en	wikibase-item								
