id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q45670-P1365-Q1139807-037bc097-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q1139807	'County of Portugal'@en	Q45670-P1365-Q1139807-037bc097-0-P580	Q45670-P1365-Q1139807-037bc097-0		P580	'start time'@en	unknown	
Q45670-P1365-Q1139807-037bc097-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q1139807	'County of Portugal'@en	Q45670-P1365-Q1139807-037bc097-0-P585	Q45670-P1365-Q1139807-037bc097-0		P585	'point in time'@en	unknown	
Q903779-P1365-Q11876909-91806821-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q11876909	'State of Brazil'@en	Q903779-P1365-Q11876909-91806821-0-P580	Q903779-P1365-Q11876909-91806821-0		P580	'start time'@en	unknown	
Q903779-P1365-Q11876909-91806821-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q11876909	'State of Brazil'@en	Q903779-P1365-Q11876909-91806821-0-P585	Q903779-P1365-Q11876909-91806821-0		P585	'point in time'@en	unknown	
Q903779-P1365-Q11876909-91806821-0	Q903779	'United Kingdom of Portugal, Brazil and the Algarves'@en	P1365	'replaces'@en	Q11876909	'State of Brazil'@en	Q903779-P1365-Q11876909-91806821-0-P828	Q903779-P1365-Q11876909-91806821-0		P828	'has cause'@en	unknown	
Q12560-P1365-Q12536-6074dfa5-0	Q12560	'Ottoman Empire'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en	Q12560-P1365-Q12536-6074dfa5-0-P580	Q12560-P1365-Q12536-6074dfa5-0		P580	'start time'@en	unknown	
Q12560-P1365-Q12536-6074dfa5-0	Q12560	'Ottoman Empire'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en	Q12560-P1365-Q12536-6074dfa5-0-P585	Q12560-P1365-Q12536-6074dfa5-0		P585	'point in time'@en	unknown	
Q12560-P1365-Q12536-6074dfa5-0	Q12560	'Ottoman Empire'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en	Q12560-P1365-Q12536-6074dfa5-0-P828	Q12560-P1365-Q12536-6074dfa5-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q12536-52103813-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en	Q160307-P1365-Q12536-52103813-0-P580	Q160307-P1365-Q12536-52103813-0		P580	'start time'@en	unknown	
Q160307-P1365-Q12536-52103813-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en	Q160307-P1365-Q12536-52103813-0-P585	Q160307-P1365-Q12536-52103813-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q12536-52103813-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en	Q160307-P1365-Q12536-52103813-0-P828	Q160307-P1365-Q12536-52103813-0		P828	'has cause'@en	unknown	
Q1250763-P1365-Q160307-595ec7e0-0	Q1250763	'Emirate of Sicily'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q1250763-P1365-Q160307-595ec7e0-0-P580	Q1250763-P1365-Q160307-595ec7e0-0		P580	'start time'@en	unknown	
Q1250763-P1365-Q160307-595ec7e0-0	Q1250763	'Emirate of Sicily'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q1250763-P1365-Q160307-595ec7e0-0-P585	Q1250763-P1365-Q160307-595ec7e0-0		P585	'point in time'@en	unknown	
Q1250763-P1365-Q160307-595ec7e0-0	Q1250763	'Emirate of Sicily'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q1250763-P1365-Q160307-595ec7e0-0-P828	Q1250763-P1365-Q160307-595ec7e0-0		P828	'has cause'@en	unknown	
Q180114-P1365-Q160307-f361fbbb-0	Q180114	'Ayyubid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q180114-P1365-Q160307-f361fbbb-0-P580	Q180114-P1365-Q160307-f361fbbb-0		P580	'start time'@en	unknown	
