id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q1139807-P576-e42ac7-4cf5e2bf-0	Q1139807	'County of Portugal'@en	P576	P576	^1139-01-01T00:00:00Z/9		Q1139807-P576-e42ac7-4cf5e2bf-0-P580	Q1139807-P576-e42ac7-4cf5e2bf-0		P580	'start time'@en	unknown	
Q1139807-P576-e42ac7-4cf5e2bf-0	Q1139807	'County of Portugal'@en	P576	P576	^1139-01-01T00:00:00Z/9		Q1139807-P576-e42ac7-4cf5e2bf-0-P585	Q1139807-P576-e42ac7-4cf5e2bf-0		P585	'point in time'@en	unknown	
Q1139807-P576-e42ac7-4cf5e2bf-0	Q1139807	'County of Portugal'@en	P576	P576	^1139-01-01T00:00:00Z/9		Q1139807-P576-e42ac7-4cf5e2bf-0-P828	Q1139807-P576-e42ac7-4cf5e2bf-0		P828	'has cause'@en	unknown	
Q11876909-P576-895cae-3256228c-0	Q11876909	'State of Brazil'@en	P576	P576	^1815-01-01T00:00:00Z/9		Q11876909-P576-895cae-3256228c-0-P580	Q11876909-P576-895cae-3256228c-0		P580	'start time'@en	unknown	
Q11876909-P576-895cae-3256228c-0	Q11876909	'State of Brazil'@en	P576	P576	^1815-01-01T00:00:00Z/9		Q11876909-P576-895cae-3256228c-0-P585	Q11876909-P576-895cae-3256228c-0		P585	'point in time'@en	unknown	
Q11876909-P576-895cae-3256228c-0	Q11876909	'State of Brazil'@en	P576	P576	^1815-01-01T00:00:00Z/9		Q11876909-P576-895cae-3256228c-0-P828	Q11876909-P576-895cae-3256228c-0		P828	'has cause'@en	unknown	
Q12536-P576-2b441b-5e6218e0-0	Q12536	'Abbasid Caliphate'@en	P576	P576	^1258-01-01T00:00:00Z/9		Q12536-P576-2b441b-5e6218e0-0-P580	Q12536-P576-2b441b-5e6218e0-0		P580	'start time'@en	unknown	
Q12536-P576-2b441b-5e6218e0-0	Q12536	'Abbasid Caliphate'@en	P576	P576	^1258-01-01T00:00:00Z/9		Q12536-P576-2b441b-5e6218e0-0-P585	Q12536-P576-2b441b-5e6218e0-0		P585	'point in time'@en	unknown	
Q12536-P576-2b441b-5e6218e0-0	Q12536	'Abbasid Caliphate'@en	P576	P576	^1258-01-01T00:00:00Z/9		Q12536-P576-2b441b-5e6218e0-0-P828	Q12536-P576-2b441b-5e6218e0-0		P828	'has cause'@en	unknown	
Q160307-P576-8ccd4a-a9490280-0	Q160307	'Fatimid Caliphate'@en	P576	P576	^1171-01-01T00:00:00Z/9		Q160307-P576-8ccd4a-a9490280-0-P580	Q160307-P576-8ccd4a-a9490280-0		P580	'start time'@en	unknown	
Q160307-P576-8ccd4a-a9490280-0	Q160307	'Fatimid Caliphate'@en	P576	P576	^1171-01-01T00:00:00Z/9		Q160307-P576-8ccd4a-a9490280-0-P585	Q160307-P576-8ccd4a-a9490280-0		P585	'point in time'@en	unknown	
Q160307-P576-8ccd4a-a9490280-0	Q160307	'Fatimid Caliphate'@en	P576	P576	^1171-01-01T00:00:00Z/9		Q160307-P576-8ccd4a-a9490280-0-P828	Q160307-P576-8ccd4a-a9490280-0		P828	'has cause'@en	unknown	
Q199688-P576-424159-5411b8a6-0	Q199688	'Almohad Caliphate'@en	P576	P576	^1269-01-01T00:00:00Z/9		Q199688-P576-424159-5411b8a6-0-P580	Q199688-P576-424159-5411b8a6-0		P580	'start time'@en	unknown	
Q199688-P576-424159-5411b8a6-0	Q199688	'Almohad Caliphate'@en	P576	P576	^1269-01-01T00:00:00Z/9		Q199688-P576-424159-5411b8a6-0-P585	Q199688-P576-424159-5411b8a6-0		P585	'point in time'@en	unknown	
