id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P580	Q1139807-P36-Q83247-b9d230cf-0		P580	'start time'@en	unknown		ckg:c2-P580	Q1139807-P36-Q83247-b9d230cf-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P585	Q1139807-P36-Q83247-b9d230cf-0		P585	'point in time'@en	unknown		ckg:c6-P585	Q1139807-P36-Q83247-b9d230cf-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P582	Q1139807-P36-Q83247-b9d230cf-0		P582	'end time'@en	unknown		ckg:c4-P582	Q1139807-P36-Q83247-b9d230cf-0-P582		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P1264	Q1139807-P36-Q83247-b9d230cf-0		P1264	'valid in period'@en	unknown		ckg:c134-P1264	Q1139807-P36-Q83247-b9d230cf-0-P1264		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P459	Q1139807-P36-Q83247-b9d230cf-0		P459	'determination method'@en	unknown		ckg:c135-P459	Q1139807-P36-Q83247-b9d230cf-0-P459		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P5102	Q1139807-P36-Q83247-b9d230cf-0		P5102	'nature of statement'@en	unknown		ckg:c18-P5102	Q1139807-P36-Q83247-b9d230cf-0-P5102		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P5102	Q1139807-P36-Q83247-b9d230cf-0		P5102	'nature of statement'@en	unknown		ckg:c186-P5102	Q1139807-P36-Q83247-b9d230cf-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P828	Q1139807-P36-Q83247-b9d230cf-0		P828	'has cause'@en	unknown		ckg:c20-P828	Q1139807-P36-Q83247-b9d230cf-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P805	Q1139807-P36-Q83247-b9d230cf-0		P805	'statement is subject of'@en	unknown		ckg:c22-P805	Q1139807-P36-Q83247-b9d230cf-0-P805		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P1534	Q1139807-P36-Q83247-b9d230cf-0		P1534	'end cause'@en	unknown		ckg:c136-P1534	Q1139807-P36-Q83247-b9d230cf-0-P1534		ckgr9	ckg:Context Type	ckgP1	Provenance
