id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P580	Q1139807-P36-Q83247-b9d230cf-0		P580	'start time'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P585	Q1139807-P36-Q83247-b9d230cf-0		P585	'point in time'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P582	Q1139807-P36-Q83247-b9d230cf-0		P582	'end time'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P1264	Q1139807-P36-Q83247-b9d230cf-0		P1264	'valid in period'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P459	Q1139807-P36-Q83247-b9d230cf-0		P459	'determination method'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P5102	Q1139807-P36-Q83247-b9d230cf-0		P5102	'nature of statement'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P828	Q1139807-P36-Q83247-b9d230cf-0		P828	'has cause'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P805	Q1139807-P36-Q83247-b9d230cf-0		P805	'statement is subject of'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P1534	Q1139807-P36-Q83247-b9d230cf-0		P1534	'end cause'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P3680	Q1139807-P36-Q83247-b9d230cf-0		P3680	'statement supported by'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P1480	Q1139807-P36-Q83247-b9d230cf-0		P1480	'sourcing circumstances'@en	unknown	
Q1139807-P36-Q83247-b9d230cf-0	Q1139807	'County of Portugal'@en	P36	'capital'@en	Q83247	'Braga'@en	Q1139807-P36-Q83247-b9d230cf-0-P1013	Q1139807-P36-Q83247-b9d230cf-0		P1013	'criterion used'@en	unknown	
Q11876909-P36-Q8678-75559718-0	Q11876909	'State of Brazil'@en	P36	'capital'@en	Q8678	'Rio de Janeiro'@en	Q11876909-P36-Q8678-75559718-0-P580	Q11876909-P36-Q8678-75559718-0		P580	'start time'@en	unknown	
Q11876909-P36-Q8678-75559718-0	Q11876909	'State of Brazil'@en	P36	'capital'@en	Q8678	'Rio de Janeiro'@en	Q11876909-P36-Q8678-75559718-0-P585	Q11876909-P36-Q8678-75559718-0		P585	'point in time'@en	unknown	
Q11876909-P36-Q8678-75559718-0	Q11876909	'State of Brazil'@en	P36	'capital'@en	Q8678	'Rio de Janeiro'@en	Q11876909-P36-Q8678-75559718-0-P582	Q11876909-P36-Q8678-75559718-0		P582	'end time'@en	unknown	
