id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q96-P2936-Q31157882-60552e6b-0	Q96	'Mexico'@en	P2936	'language used'@en	Q31157882	'Acatepec Me\'phaa'@en							
Q96-P2936-Q27867-cb1b5ca4-0	Q96	'Mexico'@en	P2936	'language used'@en	Q27867	'Afro-Seminole Creole'@en							
Q96-P2936-Q34923-97b44a34-0	Q96	'Mexico'@en	P2936	'language used'@en	Q34923	'Akateko'@en							
Q96-P2936-Q14697894-9b0cf2ad-0	Q96	'Mexico'@en	P2936	'language used'@en	Q14697894	'Alacatlatzala Mixtec'@en							
Q96-P2936-Q4709425-a489b591-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4709425	'Albarradas Zapotec'@en							
Q96-P2936-Q25559587-b2c4daf5-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559587	'Alcozauca Mixtec'@en							
Q96-P2936-Q4734726-829e086a-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4734726	'Aloápam Zapotec'@en							
Q96-P2936-Q4740613-058306bd-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4740613	'Amatlán Zapotec'@en							
Q96-P2936-Q13583504-79bab3f7-0	Q96	'Mexico'@en	P2936	'language used'@en	Q13583504	'Amoltepec Mixtec'@en							
Q96-P2936-Q13583505-a594d11c-0	Q96	'Mexico'@en	P2936	'language used'@en	Q13583505	'Apasco-Apoala Mixtec'@en							
Q96-P2936-Q4811888-328f1fa4-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4811888	'Asunción Mixtepec Zapotec'@en							
Q96-P2936-Q32093046-bd811993-0	Q96	'Mexico'@en	P2936	'language used'@en	Q32093046	'Atatláhuca Mixtec'@en							
Q96-P2936-Q12953721-a1112be2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953721	'Atatláhuca–San Miguel Mixtec'@en							
Q96-P2936-Q323325-227dd1a2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q323325	'Ayapa Zoque'@en							
Q96-P2936-Q14916912-17f1274f-0	Q96	'Mexico'@en	P2936	'language used'@en	Q14916912	'Ayautla Mazatec'@en							
Q96-P2936-Q4831570-a06b456b-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4831570	'Ayoquesco Zapotec'@en							
Q96-P2936-Q13583508-34921f03-0	Q96	'Mexico'@en	P2936	'language used'@en	Q13583508	'Ayutla Mixtec'@en							
Q96-P2936-Q25559730-d54532b5-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559730	'Azoyú Me\'phaa'@en							
Q96-P2936-Q12953723-76aca524-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953723	'Cacaloxtepec Mixtec'@en							
Q96-P2936-Q5017997-c43ac57a-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5017997	'Cajonos Zapotec'@en							
Q96-P2936-Q2194290-1bd05850-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2194290	'Central Huasteca Nahuatl'@en							
Q96-P2936-Q6047309-5173dbaf-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6047309	'Central Nahuatl'@en							
Q96-P2936-Q3361763-2fe1a359-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3361763	'Central Pame'@en							
Q96-P2936-Q5061727-a9ea56eb-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5061727	'Central Puebla Nahuatl'@en							
Q96-P2936-Q20090009-774c0745-0	Q96	'Mexico'@en	P2936	'language used'@en	Q20090009	'Central Tarahumara'@en							
Q96-P2936-Q13583510-81d567a9-0	Q96	'Mexico'@en	P2936	'language used'@en	Q13583510	'Chayuco-Jamiltepec Mixtec'@en							
Q96-P2936-Q12182838-04d704fe-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12182838	'Chazumba Mixtec'@en							
Q96-P2936-Q3364475-95ffab39-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3364475	'Chiapanec'@en							
Q96-P2936-Q3539587-bc930aa3-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3539587	'Chicahuaxtla Triqui'@en							
Q96-P2936-Q5096050-75db8073-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5096050	'Chichicapan Zapotec'@en							
Q96-P2936-Q3915427-8dd04241-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3915427	'Chichimeca Jonaz'@en							
Q96-P2936-Q3307204-edc9d350-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3307204	'Chicomuceltec'@en							
Q96-P2936-Q12953724-629c77a2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953724	'Chigmecatitlán Mixtec'@en							
Q96-P2936-Q12953435-ea3c397f-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953435	'Chiltepec Chinantec'@en							
Q96-P2936-Q5099289-54bc20ba-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5099289	'Chimalapa Zoque'@en							
Q96-P2936-Q5100110-defe7410-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5100110	'Chinantec of Ojitlán'@en							
Q96-P2936-Q5100111-89be2e2a-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5100111	'Chinantec of Ozumacín'@en							
Q96-P2936-Q5100112-f299b3e0-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5100112	'Chinantec of Palantla'@en							
Q96-P2936-Q5100113-84c65381-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5100113	'Chinantec of Tepetotutla'@en							
Q96-P2936-Q5101757-0f8f2f63-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5101757	'Chiquihuitlán Mazatec'@en							
Q96-P2936-Q5103425-37f683ab-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5103425	'Choapan Zapotec'@en							
Q96-P2936-Q2964262-fb9ab096-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2964262	'Chocho'@en							
Q96-P2936-Q35175-4cbef1d2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q35175	'Chontal Maya'@en							
Q96-P2936-Q35233-2945ac21-0	Q96	'Mexico'@en	P2936	'language used'@en	Q35233	'Chuj'@en							
Q96-P2936-Q35179-2ed6e90c-0	Q96	'Mexico'@en	P2936	'language used'@en	Q35179	'Ch’ol'@en							
Q96-P2936-Q5138603-6598a6e8-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5138603	'Coatecas Altas Zapotec'@en							
Q96-P2936-Q5138605-a263df65-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5138605	'Coatepec Nahuatl'@en							
Q96-P2936-Q25559716-5fc2d117-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559716	'Coatlán Mixe'@en							
Q96-P2936-Q3317290-65eab5fb-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3317290	'Coatzospan Mixtec'@en							
Q96-P2936-Q3915551-b01c0e27-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3915551	'Cochimí'@en							
Q96-P2936-Q33044-5d8933b8-0	Q96	'Mexico'@en	P2936	'language used'@en	Q33044	'Cocopah'@en							
Q96-P2936-Q2963735-a117ca81-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2963735	'Comaltepec Chinantec'@en							
Q96-P2936-Q12954017-aa205786-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12954017	'Copainalá Zoque'@en							
Q96-P2936-Q12953935-1f236241-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953935	'Copala Triqui'@en							
Q96-P2936-Q5180100-0a3d6489-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5180100	'Coyotepec Popoloca'@en							
Q96-P2936-Q15615591-450ce214-0	Q96	'Mexico'@en	P2936	'language used'@en	Q15615591	'Coyutla Totonac'@en							
Q96-P2936-Q12953726-abd843cd-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953726	'Cuyamecalco Mixtec'@en							
Q96-P2936-Q16115449-d47fc1ae-0	Q96	'Mexico'@en	P2936	'language used'@en	Q16115449	'Eastern Durango Nahuatl'@en							
Q96-P2936-Q12642078-dd3df301-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12642078	'Eastern Highland Chatino'@en							
Q96-P2936-Q4358289-c141aea7-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4358289	'Eastern Huasteca Nahuatl'@en							
Q96-P2936-Q5350733-52727bcc-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5350733	'El Alto Zapotec'@en							
Q96-P2936-Q12953454-b7502310-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953454	'El Nayar Cora'@en							
Q96-P2936-Q5367223-77847a03-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5367223	'Elotepec Zapotec'@en							
Q96-P2936-Q1860-469c20de-0	Q96	'Mexico'@en	P2936	'language used'@en	Q1860	'English'@en							
Q96-P2936-Q5449202-d929c945-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5449202	'Filomeno Mata Totonac'@en							
Q96-P2936-Q12954011-a4b60448-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12954011	'Francisco León Zoque'@en							
Q96-P2936-Q5614751-e9830d15-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5614751	'Guelavía Zapotec'@en							
Q96-P2936-Q3501942-948f1c70-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3501942	'Guerrero Amuzgo'@en							
Q96-P2936-Q5614980-728d26b9-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5614980	'Guerrero Nahuatl'@en							
Q96-P2936-Q13459953-f6fb9116-0	Q96	'Mexico'@en	P2936	'language used'@en	Q13459953	'Guevea Zapotec'@en							
Q96-P2936-Q5626813-53fa7307-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5626813	'Güilá Zapotec'@en							
Q96-P2936-Q5758709-8f9e6a0e-0	Q96	'Mexico'@en	P2936	'language used'@en	Q5758709	'Highland Chinantec'@en							
Q96-P2936-Q2964457-38da4c7e-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2964457	'Highland Oaxaca Chontal'@en							
Q96-P2936-Q12953754-a9052569-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953754	'Highland Puebla Nahuatl'@en							
Q96-P2936-Q2964450-0a835c2e-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2964450	'Huamelula'@en							
Q96-P2936-Q10974017-3b8f155a-0	Q96	'Mexico'@en	P2936	'language used'@en	Q10974017	'Huarijio'@en							
Q96-P2936-Q63278779-a037c06b-0	Q96	'Mexico'@en	P2936	'language used'@en	Q63278779	'Huautla Mazatec'@en							
Q96-P2936-Q2454915-47ecd2b2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2454915	'Huaxcaleca Nahuatl'@en							
Q96-P2936-Q56455-26ea003f-0	Q96	'Mexico'@en	P2936	'language used'@en	Q56455	'Huehuetla Tepehua'@en							
Q96-P2936-Q12953729-da4c842d-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953729	'Huitepec Mixtec'@en							
Q96-P2936-Q12633013-56cac3b0-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12633013	'Ipalapa Amuzgo'@en							
Q96-P2936-Q6088873-cec80486-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6088873	'Isthmus Mixe'@en							
Q96-P2936-Q56728-e70a912b-0	Q96	'Mexico'@en	P2936	'language used'@en	Q56728	'Isthmus Zapotec'@en							
Q96-P2936-Q12953757-2679974d-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953757	'Isthmus-Cosoleacaque Nahuatl'@en							
Q96-P2936-Q12953756-1fab5ef3-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953756	'Isthmus-Mecayapan Nahuatl'@en							
Q96-P2936-Q2391273-3525b469-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2391273	'Isthmus-Pajapan Nahuatl'@en							
Q96-P2936-Q12953727-717ec868-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953727	'Itundujia Mixtec'@en							
Q96-P2936-Q12953934-aa01e9ef-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953934	'Itunyoso Triqui'@en							
Q96-P2936-Q56706-de9c1516-0	Q96	'Mexico'@en	P2936	'language used'@en	Q56706	'Ixcatec'@en							
Q96-P2936-Q6101049-8bb3f1ec-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6101049	'Ixcatlán Mazatec'@en							
Q96-P2936-Q6101163-69713e82-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6101163	'Ixtayutla Mixtec'@en							
Q96-P2936-Q6101171-0aa84f23-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6101171	'Ixtenco Otomi'@en							
Q96-P2936-Q33393-a3ec4434-0	Q96	'Mexico'@en	P2936	'language used'@en	Q33393	'Jakaltek'@en							
Q96-P2936-Q3915999-068c876b-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3915999	'Jalapa Mazatec'@en							
Q96-P2936-Q12953730-d5ed2ff1-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953730	'Jamiltepec Mixtec'@en							
Q96-P2936-Q25559721-806365bb-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559721	'Juquila Mixe'@en							
Q96-P2936-Q25559582-01072f42-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559582	'Juxtlahuaca Mixtec'@en							
Q96-P2936-Q20162127-cc44ef51-0	Q96	'Mexico'@en	P2936	'language used'@en	Q20162127	'Kickapoo'@en							
Q96-P2936-Q3182593-33885ac5-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3182593	'Kiliwa'@en							
Q96-P2936-Q35766-313991a4-0	Q96	'Mexico'@en	P2936	'language used'@en	Q35766	'Lacandon'@en							
Q96-P2936-Q6468403-0160b4b0-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6468403	'Lachiguiri Zapotec'@en							
Q96-P2936-Q6468420-643fd798-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6468420	'Lachixío Zapotec'@en							
Q96-P2936-Q12953437-149f4dd7-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953437	'Lalana Chinantec'@en							
Q96-P2936-Q6488084-bd3b6094-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6488084	'Lapaguía Zapotec'@en							
Q96-P2936-Q6509365-f01c579d-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6509365	'Lealao Chinantec'@en							
Q96-P2936-Q15616384-5dffe4a7-0	Q96	'Mexico'@en	P2936	'language used'@en	Q15616384	'Lowland Tarahumara'@en							
Q96-P2936-Q6694268-8c904088-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6694268	'Loxicha Zapotec'@en							
Q96-P2936-Q25559732-01ba9b46-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559732	'Malinaltepec Me\'phaa'@en							
Q96-P2936-Q33467-101d29af-0	Q96	'Mexico'@en	P2936	'language used'@en	Q33467	'Mam'@en							
Q96-P2936-Q34281-9d63cbfc-0	Q96	'Mexico'@en	P2936	'language used'@en	Q34281	'Mayan Sign Language'@en							
Q96-P2936-Q56729-470137cd-0	Q96	'Mexico'@en	P2936	'language used'@en	Q56729	'Mayo'@en							
Q96-P2936-Q36228-a7de70d2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q36228	'Mazahua'@en							
Q96-P2936-Q6798223-a915aa64-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6798223	'Mazaltepec Zapotec'@en							
Q96-P2936-Q36230-b0705959-0	Q96	'Mexico'@en	P2936	'language used'@en	Q36230	'Mazatecan'@en							
Q96-P2936-Q12953706-323559ca-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953706	'Mazatlán Mazatec'@en							
Q96-P2936-Q25559728-3ba03027-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559728	'Mazatlán Mixe'@en							
Q96-P2936-Q53482453-370b9793-0	Q96	'Mexico'@en	P2936	'language used'@en	Q53482453	'Metlatónoc Mixtec'@en							
Q96-P2936-Q3915511-568423e2-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3915511	'Mexican Sign Language'@en							
Q96-P2936-Q42365630-597072b3-0	Q96	'Mexico'@en	P2936	'language used'@en	Q42365630	'Mezontla Popoloca'@en							
Q96-P2936-Q23755711-ce840eb5-0	Q96	'Mexico'@en	P2936	'language used'@en	Q23755711	'Mezquital Otomi'@en							
Q96-P2936-Q13541830-0df8f380-0	Q96	'Mexico'@en	P2936	'language used'@en	Q13541830	'Miahuatlán Zapotec'@en							
Q96-P2936-Q12953705-f1732e02-0	Q96	'Mexico'@en	P2936	'language used'@en	Q12953705	'Michoacán Mazahua'@en							
Q96-P2936-Q2896217-74e149f6-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2896217	'Michoacán Nahuatl'@en							
Q96-P2936-Q56460-49cc438f-0	Q96	'Mexico'@en	P2936	'language used'@en	Q56460	'Misantla Totonac'@en							
Q96-P2936-Q3053288-17b5d112-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3053288	'Mitla Zapotec'@en							
Q96-P2936-Q6881813-ea5cbf81-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6881813	'Mitlatongo-Yutanduchi Mixtec'@en							
Q96-P2936-Q6884125-001b4be0-0	Q96	'Mexico'@en	P2936	'language used'@en	Q6884125	'Mixtepec Mixtec'@en							
Q96-P2936-Q7414598-e5822bc3-0	Q96	'Mexico'@en	P2936	'language used'@en	Q7414598	'Mixtepec Zapotec'@en							
Q96-P2936-Q1941682-83c5f87e-0	Q96	'Mexico'@en	P2936	'language used'@en	Q1941682	'Mocho’'@en							
Q96-P2936-Q4800819-cbf2ec2e-0	Q96	'Mexico'@en	P2936	'language used'@en	Q4800819	'Morelos Nahuatl'@en							
Q96-P2936-Q15616302-ee0a5a47-0	Q96	'Mexico'@en	P2936	'language used'@en	Q15616302	'Nopala Chatino'@en							
Q96-P2936-Q25559729-8fc74f86-0	Q96	'Mexico'@en	P2936	'language used'@en	Q25559729	'North Central Mixe'@en							
Q96-P2936-Q2011413-49f675ed-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2011413	'Northern Oaxaca Nahuatl'@en							
Q96-P2936-Q3361762-7b139ea7-0	Q96	'Mexico'@en	P2936	'language used'@en	Q3361762	'Northern Pame'@en							
Q96-P2936-Q2262283-48c53ac4-0	Q96	'Mexico'@en	P2936	'language used'@en	Q2262283	'Northern Puebla Nahuatl'@en							
Q96-P2936-Q15616395-6f08287a-0	Q96	'Mexico'@en	P2936	'language used'@en	Q15616395	'Northern Tarahumara'@en							
