id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q1109279-P576-956c96-24b1a790-0	Q1109279	'First Mexican Republic'@en	P576	'dissolved, abolished or demolished date'@en	^1835-10-23T00:00:00Z/11		Q1109279-P576-956c96-24b1a790-0-P580	Q1109279-P576-956c96-24b1a790-0		P580	'start time'@en	unknown	
Q1109279-P576-956c96-24b1a790-0	Q1109279	'First Mexican Republic'@en	P576	'dissolved, abolished or demolished date'@en	^1835-10-23T00:00:00Z/11		Q1109279-P576-956c96-24b1a790-0-P585	Q1109279-P576-956c96-24b1a790-0		P585	'point in time'@en	unknown	
Q1109279-P576-956c96-24b1a790-0	Q1109279	'First Mexican Republic'@en	P576	'dissolved, abolished or demolished date'@en	^1835-10-23T00:00:00Z/11		Q1109279-P576-956c96-24b1a790-0-P828	Q1109279-P576-956c96-24b1a790-0		P828	'has cause'@en	unknown	
Q2608489-P576-1d2dab-46b6b8b6-0	Q2608489	'Aztec Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1521-08-13T00:00:00Z/11		Q2608489-P576-1d2dab-46b6b8b6-0-P580	Q2608489-P576-1d2dab-46b6b8b6-0		P580	'start time'@en	unknown	
Q2608489-P576-1d2dab-46b6b8b6-0	Q2608489	'Aztec Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1521-08-13T00:00:00Z/11		Q2608489-P576-1d2dab-46b6b8b6-0-P585	Q2608489-P576-1d2dab-46b6b8b6-0		P585	'point in time'@en	unknown	
Q2608489-P576-1d2dab-46b6b8b6-0	Q2608489	'Aztec Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1521-08-13T00:00:00Z/11		Q2608489-P576-1d2dab-46b6b8b6-0-P828	Q2608489-P576-1d2dab-46b6b8b6-0		P828	'has cause'@en	unknown	
Q285658-P576-f09f24-7606e02a-0	Q285658	'First Mexican Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1823-03-19T00:00:00Z/11		Q285658-P576-f09f24-7606e02a-0-P580	Q285658-P576-f09f24-7606e02a-0		P580	'start time'@en	unknown	
Q285658-P576-f09f24-7606e02a-0	Q285658	'First Mexican Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1823-03-19T00:00:00Z/11		Q285658-P576-f09f24-7606e02a-0-P585	Q285658-P576-f09f24-7606e02a-0		P585	'point in time'@en	unknown	
Q285658-P576-f09f24-7606e02a-0	Q285658	'First Mexican Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1823-03-19T00:00:00Z/11		Q285658-P576-f09f24-7606e02a-0-P828	Q285658-P576-f09f24-7606e02a-0		P828	'has cause'@en	unknown	
Q371334-P576-0208fe-dadf7fe6-0	Q371334	'Second Mexican Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1867-01-01T00:00:00Z/9		Q371334-P576-0208fe-dadf7fe6-0-P580	Q371334-P576-0208fe-dadf7fe6-0		P580	'start time'@en	unknown	
Q371334-P576-0208fe-dadf7fe6-0	Q371334	'Second Mexican Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1867-01-01T00:00:00Z/9		Q371334-P576-0208fe-dadf7fe6-0-P585	Q371334-P576-0208fe-dadf7fe6-0		P585	'point in time'@en	unknown	
Q371334-P576-0208fe-dadf7fe6-0	Q371334	'Second Mexican Empire'@en	P576	'dissolved, abolished or demolished date'@en	^1867-01-01T00:00:00Z/9		Q371334-P576-0208fe-dadf7fe6-0-P828	Q371334-P576-0208fe-dadf7fe6-0		P828	'has cause'@en	unknown	
Q5062192-P576-f4a867-0381d5ae-0	Q5062192	'Centralist Republic of Mexico'@en	P576	'dissolved, abolished or demolished date'@en	^1846-08-22T00:00:00Z/11		Q5062192-P576-f4a867-0381d5ae-0-P580	Q5062192-P576-f4a867-0381d5ae-0		P580	'start time'@en	unknown	
Q5062192-P576-f4a867-0381d5ae-0	Q5062192	'Centralist Republic of Mexico'@en	P576	'dissolved, abolished or demolished date'@en	^1846-08-22T00:00:00Z/11		Q5062192-P576-f4a867-0381d5ae-0-P585	Q5062192-P576-f4a867-0381d5ae-0		P585	'point in time'@en	unknown	
Q5062192-P576-f4a867-0381d5ae-0	Q5062192	'Centralist Republic of Mexico'@en	P576	'dissolved, abolished or demolished date'@en	^1846-08-22T00:00:00Z/11		Q5062192-P576-f4a867-0381d5ae-0-P828	Q5062192-P576-f4a867-0381d5ae-0		P828	'has cause'@en	unknown	
Q5788450-P576-09d178-15130118-0	Q5788450	'Restored Republic'@en	P576	'dissolved, abolished or demolished date'@en	^1876-01-01T00:00:00Z/9		Q5788450-P576-09d178-15130118-0-P580	Q5788450-P576-09d178-15130118-0		P580	'start time'@en	unknown	
Q5788450-P576-09d178-15130118-0	Q5788450	'Restored Republic'@en	P576	'dissolved, abolished or demolished date'@en	^1876-01-01T00:00:00Z/9		Q5788450-P576-09d178-15130118-0-P585	Q5788450-P576-09d178-15130118-0		P585	'point in time'@en	unknown	
Q5788450-P576-09d178-15130118-0	Q5788450	'Restored Republic'@en	P576	'dissolved, abolished or demolished date'@en	^1876-01-01T00:00:00Z/9		Q5788450-P576-09d178-15130118-0-P828	Q5788450-P576-09d178-15130118-0		P828	'has cause'@en	unknown	
Q671658-P576-aced6f-051f565c-0	Q671658	'Republic of Yucatán'@en	P576	'dissolved, abolished or demolished date'@en	^1848-01-01T00:00:00Z/9		Q671658-P576-aced6f-051f565c-0-P580	Q671658-P576-aced6f-051f565c-0		P580	'start time'@en	unknown	
Q671658-P576-aced6f-051f565c-0	Q671658	'Republic of Yucatán'@en	P576	'dissolved, abolished or demolished date'@en	^1848-01-01T00:00:00Z/9		Q671658-P576-aced6f-051f565c-0-P585	Q671658-P576-aced6f-051f565c-0		P585	'point in time'@en	unknown	
Q671658-P576-aced6f-051f565c-0	Q671658	'Republic of Yucatán'@en	P576	'dissolved, abolished or demolished date'@en	^1848-01-01T00:00:00Z/9		Q671658-P576-aced6f-051f565c-0-P828	Q671658-P576-aced6f-051f565c-0		P828	'has cause'@en	unknown	
Q7443295-P576-7e6adf-e1e6c7da-0	Q7443295	'Second Federal Republic of Mexico'@en	P576	'dissolved, abolished or demolished date'@en	^1863-07-10T00:00:00Z/11		Q7443295-P576-7e6adf-e1e6c7da-0-P580	Q7443295-P576-7e6adf-e1e6c7da-0		P580	'start time'@en	unknown	
Q7443295-P576-7e6adf-e1e6c7da-0	Q7443295	'Second Federal Republic of Mexico'@en	P576	'dissolved, abolished or demolished date'@en	^1863-07-10T00:00:00Z/11		Q7443295-P576-7e6adf-e1e6c7da-0-P585	Q7443295-P576-7e6adf-e1e6c7da-0		P585	'point in time'@en	unknown	
Q7443295-P576-7e6adf-e1e6c7da-0	Q7443295	'Second Federal Republic of Mexico'@en	P576	'dissolved, abolished or demolished date'@en	^1863-07-10T00:00:00Z/11		Q7443295-P576-7e6adf-e1e6c7da-0-P828	Q7443295-P576-7e6adf-e1e6c7da-0		P828	'has cause'@en	unknown	
Q796651-P576-a4e13b-9cdd3d8b-0	Q796651	'Azcapotzalco'@en	P576	'dissolved, abolished or demolished date'@en	^1428-01-01T00:00:00Z/9		Q796651-P576-a4e13b-9cdd3d8b-0-P580	Q796651-P576-a4e13b-9cdd3d8b-0		P580	'start time'@en	unknown	
Q796651-P576-a4e13b-9cdd3d8b-0	Q796651	'Azcapotzalco'@en	P576	'dissolved, abolished or demolished date'@en	^1428-01-01T00:00:00Z/9		Q796651-P576-a4e13b-9cdd3d8b-0-P585	Q796651-P576-a4e13b-9cdd3d8b-0		P585	'point in time'@en	unknown	
Q796651-P576-a4e13b-9cdd3d8b-0	Q796651	'Azcapotzalco'@en	P576	'dissolved, abolished or demolished date'@en	^1428-01-01T00:00:00Z/9		Q796651-P576-a4e13b-9cdd3d8b-0-P828	Q796651-P576-a4e13b-9cdd3d8b-0		P828	'has cause'@en	unknown	
