id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q96-P35-Q115328-4d23346f-0	Q96	'Mexico'@en	P35	'head of state'@en	Q115328	'Abelardo L. Rodríguez'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q115328-4d23346f-0-P580-981870-0	Q96-P35-Q115328-4d23346f-0		P580	'start time'@en	^1932-01-01T00:00:00Z/9		time								
Q96-P35-Q115328-4d23346f-0	Q96	'Mexico'@en	P35	'head of state'@en	Q115328	'Abelardo L. Rodríguez'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q115328-4d23346f-0-P582-b3e72f-0	Q96-P35-Q115328-4d23346f-0		P582	'end time'@en	^1934-01-01T00:00:00Z/9		time								
Q96-P35-Q335533-88255b72-0	Q96	'Mexico'@en	P35	'head of state'@en	Q335533	'Adolfo López Mateos'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q335533-88255b72-0-P580-63b3b9-0	Q96-P35-Q335533-88255b72-0		P580	'start time'@en	^1958-01-01T00:00:00Z/9		time								
Q96-P35-Q335533-88255b72-0	Q96	'Mexico'@en	P35	'head of state'@en	Q335533	'Adolfo López Mateos'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q335533-88255b72-0-P582-74a573-0	Q96-P35-Q335533-88255b72-0		P582	'end time'@en	^1964-01-01T00:00:00Z/9		time								
Q96-P35-Q327920-04a136aa-0	Q96	'Mexico'@en	P35	'head of state'@en	Q327920	'Adolfo Ruiz Cortines'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q327920-04a136aa-0-P580-041ba8-0	Q96-P35-Q327920-04a136aa-0		P580	'start time'@en	^1952-01-01T00:00:00Z/9		time								
Q96-P35-Q327920-04a136aa-0	Q96	'Mexico'@en	P35	'head of state'@en	Q327920	'Adolfo Ruiz Cortines'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q327920-04a136aa-0-P582-63b3b9-0	Q96-P35-Q327920-04a136aa-0		P582	'end time'@en	^1958-01-01T00:00:00Z/9		time								
Q96-P35-Q137865-92cf531d-0	Q96	'Mexico'@en	P35	'head of state'@en	Q137865	'Adolfo de la Huerta'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q137865-92cf531d-0-P580-501917-0	Q96-P35-Q137865-92cf531d-0		P580	'start time'@en	^1920-06-01T00:00:00Z/11		time								
Q96-P35-Q137865-92cf531d-0	Q96	'Mexico'@en	P35	'head of state'@en	Q137865	'Adolfo de la Huerta'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q137865-92cf531d-0-P582-4e87bd-0	Q96-P35-Q137865-92cf531d-0		P582	'end time'@en	^1920-11-30T00:00:00Z/11		time								
Q96-P35-Q318508-8dd02703-0	Q96	'Mexico'@en	P35	'head of state'@en	Q318508	'Andrés Manuel López Obrador'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q318508-8dd02703-0-P580-1f99d4-0	Q96-P35-Q318508-8dd02703-0		P580	'start time'@en	^2018-12-01T00:00:00Z/11		time								
Q96-P35-Q315633-56f5c58a-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315633	'Carlos Salinas de Gortari'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315633-56f5c58a-0-P580-39ff98-0	Q96-P35-Q315633-56f5c58a-0		P580	'start time'@en	^1988-01-01T00:00:00Z/9		time								
