id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P580	Q1109279-P36-Q1489-705acfb8-0		P580	'start time'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P585	Q1109279-P36-Q1489-705acfb8-0		P585	'point in time'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P582	Q1109279-P36-Q1489-705acfb8-0		P582	'end time'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P1264	Q1109279-P36-Q1489-705acfb8-0		P1264	'valid in period'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P459	Q1109279-P36-Q1489-705acfb8-0		P459	'determination method'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P5102	Q1109279-P36-Q1489-705acfb8-0		P5102	'nature of statement'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P828	Q1109279-P36-Q1489-705acfb8-0		P828	'has cause'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P805	Q1109279-P36-Q1489-705acfb8-0		P805	'statement is subject of'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P1534	Q1109279-P36-Q1489-705acfb8-0		P1534	'end cause'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P3680	Q1109279-P36-Q1489-705acfb8-0		P3680	'statement supported by'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P1480	Q1109279-P36-Q1489-705acfb8-0		P1480	'sourcing circumstances'@en	unknown	
Q1109279-P36-Q1489-705acfb8-0	Q1109279	'First Mexican Republic'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q1109279-P36-Q1489-705acfb8-0-P1013	Q1109279-P36-Q1489-705acfb8-0		P1013	'criterion used'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P580	Q2608489-P36-Q13695-92b3712f-0		P580	'start time'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P585	Q2608489-P36-Q13695-92b3712f-0		P585	'point in time'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P582	Q2608489-P36-Q13695-92b3712f-0		P582	'end time'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P1264	Q2608489-P36-Q13695-92b3712f-0		P1264	'valid in period'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P459	Q2608489-P36-Q13695-92b3712f-0		P459	'determination method'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P5102	Q2608489-P36-Q13695-92b3712f-0		P5102	'nature of statement'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P828	Q2608489-P36-Q13695-92b3712f-0		P828	'has cause'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P805	Q2608489-P36-Q13695-92b3712f-0		P805	'statement is subject of'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P1534	Q2608489-P36-Q13695-92b3712f-0		P1534	'end cause'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P3680	Q2608489-P36-Q13695-92b3712f-0		P3680	'statement supported by'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P1480	Q2608489-P36-Q13695-92b3712f-0		P1480	'sourcing circumstances'@en	unknown	
Q2608489-P36-Q13695-92b3712f-0	Q2608489	'Aztec Empire'@en	P36	'capital'@en	Q13695	'Tenochtitlan'@en	Q2608489-P36-Q13695-92b3712f-0-P1013	Q2608489-P36-Q13695-92b3712f-0		P1013	'criterion used'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P580	Q285658-P36-Q1489-030433b7-0		P580	'start time'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P585	Q285658-P36-Q1489-030433b7-0		P585	'point in time'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P582	Q285658-P36-Q1489-030433b7-0		P582	'end time'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P1264	Q285658-P36-Q1489-030433b7-0		P1264	'valid in period'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P459	Q285658-P36-Q1489-030433b7-0		P459	'determination method'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P5102	Q285658-P36-Q1489-030433b7-0		P5102	'nature of statement'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P828	Q285658-P36-Q1489-030433b7-0		P828	'has cause'@en	unknown	
Q285658-P36-Q1489-030433b7-0	Q285658	'First Mexican Empire'@en	P36	'capital'@en	Q1489	'Mexico City'@en	Q285658-P36-Q1489-030433b7-0-P805	Q285658-P36-Q1489-030433b7-0		P805	'statement is subject of'@en	unknown	
