node1	label	node2
Q100258739	reachable	Q100258738
Q100258739	reachable	Q3087763
Q100258739	reachable	Q124943
Q100258739	reachable	Q370173
Q100258738	reachable	Q3087763
Q100258738	reachable	Q124943
Q100258738	reachable	Q370173
Q170468	reachable	Q100258739
Q170468	reachable	Q146885
Q170468	reachable	Q100258738
Q170468	reachable	Q107996369
Q170468	reachable	Q108868572
Q170468	reachable	Q26234937
Q170468	reachable	Q3087763
Q170468	reachable	Q108868568
Q170468	reachable	Q139708
Q170468	reachable	Q124943
Q170468	reachable	Q130802
Q170468	reachable	Q146740
Q170468	reachable	Q146880
Q170468	reachable	Q370173
Q170468	reachable	Q12183911
Q170468	reachable	Q25432445
Q170468	reachable	Q146562
Q170468	reachable	Q146872
Q170468	reachable	Q7075820
Q170468	reachable	Q1162983
Q170468	reachable	Q12216996
Q170468	reachable	Q12216998
Q170468	reachable	Q12216999
Q170468	reachable	Q12217001
Q170468	reachable	Q12217003
Q170468	reachable	Q12217004
Q170468	reachable	Q12217005
Q170468	reachable	Q1372503
Q170468	reachable	Q1493892
Q170468	reachable	Q15712629
Q170468	reachable	Q15715196
Q170468	reachable	Q16120426
Q170468	reachable	Q2014671
Q170468	reachable	Q3326429
Q170468	reachable	Q3948374
Q170468	reachable	Q4117775
Q170468	reachable	Q4145971
Q170468	reachable	Q6086288
Q170468	reachable	Q3934817
Q170468	reachable	Q3934837
Q170468	reachable	Q3934822
Q170468	reachable	Q3736239
Q170468	reachable	Q3808910
Q170468	reachable	Q3936690
Q170468	reachable	Q2261321
Q170468	reachable	Q3043596
Q170468	reachable	Q1264808
Q170468	reachable	Q975405
Q70972	reachable	Q100272879
Q70972	reachable	Q3456417
Q70972	reachable	Q46370
Q70972	reachable	Q538677
Q70972	reachable	Q63021609
Q70972	reachable	Q638503
Q70972	reachable	Q200262
Q70972	reachable	Q3446210
Q70972	reachable	Q61901679
Q70972	reachable	Q2295939
Q100273061	reachable	Q640010
Q668	reachable	Q101242375
Q668	reachable	Q1028095
Q668	reachable	Q104151568
Q668	reachable	Q104151575
Q668	reachable	Q104151601
Q668	reachable	Q104152096
Q668	reachable	Q104152097
Q668	reachable	Q104152099
Q668	reachable	Q104152100
Q668	reachable	Q104152101
Q668	reachable	Q104152102
Q668	reachable	Q104152103
Q668	reachable	Q104152104
Q668	reachable	Q104152105
