node1	node1;label	label	node2
Q252	'Indonesia'@en	count	1489
Q668	'India'@en	count	1475
Q30	'United States of America'@en	count	1371
Q691	'Papua New Guinea'@en	count	1289
Q408	'Australia'@en	count	1223
Q148	'People\'s Republic of China'@en	count	1065
Q96	'Mexico'@en	count	1058
Q16	'Canada'@en	count	1045
Q1033	'Nigeria'@en	count	1032
Q159	'Russia'@en	count	995
Q183	'Germany'@en	count	951
Q155	'Brazil'@en	count	945
Q142	'France'@en	count	936
Q38	'Italy'@en	count	836
Q36	'Poland'@en	count	818
Q34	'Sweden'@en	count	802
Q928	'Philippines'@en	count	795
Q17	'Japan'@en	count	788
Q145	'United Kingdom'@en	count	785
Q43	'Turkey'@en	count	746
Q1009	'Cameroon'@en	count	744
Q31	'Belgium'@en	count	741
Q33	'Finland'@en	count	738
Q29	'Spain'@en	count	726
Q833	'Malaysia'@en	count	714
Q28	'Hungary'@en	count	706
Q801	'Israel'@en	count	690
Q20	'Norway'@en	count	689
Q212	'Ukraine'@en	count	680
Q974	'Democratic Republic of the Congo'@en	count	680
Q889	'Afghanistan'@en	count	679
Q35	'Denmark'@en	count	673
Q218	'Romania'@en	count	670
Q794	'Iran'@en	count	668
Q215	'Slovenia'@en	count	661
Q41	'Greece'@en	count	649
Q414	'Argentina'@en	count	646
Q419	'Peru'@en	count	643
Q262	'Algeria'@en	count	636
Q39	'Switzerland'@en	count	631
Q843	'Pakistan'@en	count	629
Q869	'Thailand'@en	count	627
Q423	'North Korea'@en	count	619
Q836	'Myanmar'@en	count	619
Q717	'Venezuela'@en	count	618
Q40	'Austria'@en	count	615
Q55	'Netherlands'@en	count	615
Q213	'Czech Republic'@en	count	614
Q739	'Colombia'@en	count	614
Q837	'Nepal'@en	count	614
Q902	'Bangladesh'@en	count	610
Q881	'Vietnam'@en	count	601
Q219	'Bulgaria'@en	count	600
Q851	'Saudi Arabia'@en	count	600
Q1036	'Uganda'@en	count	598
Q924	'Tanzania'@en	count	586
Q222	'Albania'@en	count	581
Q884	'South Korea'@en	count	581
Q865	'Taiwan'@en	count	579
Q79	'Egypt'@en	count	578
Q211	'Latvia'@en	count	576
Q736	'Ecuador'@en	count	576
Q45	'Portugal'@en	count	574
Q230	'Georgia'@en	count	573
Q115	'Ethiopia'@en	count	566
Q258	'South Africa'@en	count	558
Q227	'Azerbaijan'@en	count	557
Q657	'Chad'@en	count	557
Q114	'Kenya'@en	count	554
Q221	'North Macedonia'@en	count	548
Q403	'Serbia'@en	count	548
Q298	'Chile'@en	count	546
Q184	'Belarus'@en	count	543
Q1008	'Ivory Coast'@en	count	542
Q32	'Luxembourg'@en	count	542
Q399	'Armenia'@en	count	542
Q117	'Ghana'@en	count	538
Q1028	'Morocco'@en	count	535
Q241	'Cuba'@en	count	532
Q191	'Estonia'@en	count	531
Q77	'Uruguay'@en	count	531
Q750	'Bolivia'@en	count	530
Q27	'Republic of Ireland'@en	count	525
Q965	'Burkina Faso'@en	count	525
Q819	'Laos'@en	count	519
Q912	'Mali'@en	count	519
Q1016	'Libya'@en	count	518
Q189	'Iceland'@en	count	518
Q1029	'Mozambique'@en	count	513
Q916	'Angola'@en	count	513
Q858	'Syria'@en	count	512
Q953	'Zambia'@en	count	510
Q929	'Central African Republic'@en	count	502
Q796	'Iraq'@en	count	501
Q224	'Croatia'@en	count	500
Q686	'Vanuatu'@en	count	498
Q37	'Lithuania'@en	count	497
Q774	'Guatemala'@en	count	497
Q424	'Cambodia'@en	count	496
Q232	'Kazakhstan'@en	count	492
Q229	'Cyprus'@en	count	491
Q733	'Paraguay'@en	count	490
Q664	'New Zealand'@en	count	489
Q1041	'Senegal'@en	count	488
Q334	'Singapore'@en	count	488
Q1049	'Sudan'@en	count	484
Q711	'Mongolia'@en	count	481
Q948	'Tunisia'@en	count	475
Q1006	'Guinea'@en	count	474
Q1030	'Namibia'@en	count	472
Q954	'Zimbabwe'@en	count	467
Q963	'Botswana'@en	count	465
Q804	'Panama'@en	count	464
Q962	'Benin'@en	count	461
Q786	'Dominican Republic'@en	count	460
Q398	'Bahrain'@en	count	459
Q1000	'Gabon'@en	count	458
Q1032	'Niger'@en	count	458
Q878	'United Arab Emirates'@en	count	456
Q1014	'Liberia'@en	count	454
Q792	'El Salvador'@en	count	454
Q214	'Slovakia'@en	count	453
Q244	'Barbados'@en	count	453
Q233	'Malta'@en	count	451
Q967	'Burundi'@en	count	450
Q217	'Moldova'@en	count	448
Q800	'Costa Rica'@en	count	448
Q1011	'Cape Verde'@en	count	447
Q945	'Togo'@en	count	447
Q811	'Nicaragua'@en	count	443
Q347	'Liechtenstein'@en	count	442
Q790	'Haiti'@en	count	441
Q805	'Yemen'@en	count	441
Q1020	'Malawi'@en	count	440
Q783	'Honduras'@en	count	440
Q971	'Republic of the Congo'@en	count	438
Q917	'Bhutan'@en	count	436
Q1044	'Sierra Leone'@en	count	432
Q921	'Brunei'@en	count	431
Q1025	'Mauritania'@en	count	430
Q822	'Lebanon'@en	count	430
Q1013	'Lesotho'@en	count	428
Q754	'Trinidad and Tobago'@en	count	428
Q842	'Oman'@en	count	426
Q1019	'Madagascar'@en	count	421
Q242	'Belize'@en	count	420
Q1037	'Rwanda'@en	count	419
Q225	'Bosnia and Herzegovina'@en	count	417
Q265	'Uzbekistan'@en	count	417
Q756617	'Kingdom of Denmark'@en	count	417
Q712	'Fiji'@en	count	416
Q685	'Solomon Islands'@en	count	415
Q778	'The Bahamas'@en	count	415
Q846	'Qatar'@en	count	415
Q863	'Tajikistan'@en	count	415
Q734	'Guyana'@en	count	414
Q986	'Eritrea'@en	count	413
Q983	'Equatorial Guinea'@en	count	411
Q15180	'Soviet Union'@en	count	409
Q813	'Kyrgyzstan'@en	count	407
Q1005	'The Gambia'@en	count	406
Q574	'East Timor'@en	count	406
Q810	'Jordan'@en	count	406
Q236	'Montenegro'@en	count	404
Q854	'Sri Lanka'@en	count	404
Q683	'Samoa'@en	count	402
Q730	'Suriname'@en	count	400
Q826	'Maldives'@en	count	398
Q1007	'Guinea-Bissau'@en	count	397
Q1045	'Somalia'@en	count	397
Q766	'Jamaica'@en	count	396
Q977	'Djibouti'@en	count	393
Q228	'Andorra'@en	count	392
Q958	'South Sudan'@en	count	378
Q1039	'São Tomé and Príncipe'@en	count	368
Q769	'Grenada'@en	count	365
Q702	'Federated States of Micronesia'@en	count	362
Q678	'Tonga'@en	count	360
Q760	'Saint Lucia'@en	count	360
Q817	'Kuwait'@en	count	360
Q1042	'Seychelles'@en	count	357
Q710	'Kiribati'@en	count	357
Q781	'Antigua and Barbuda'@en	count	356
Q874	'Turkmenistan'@en	count	351
Q235	'Monaco'@en	count	343
Q238	'San Marino'@en	count	339
Q757	'Saint Vincent and the Grenadines'@en	count	338
Q970	'Comoros'@en	count	328
Q695	'Palau'@en	count	327
Q784	'Dominica'@en	count	327
Q709	'Marshall Islands'@en	count	320
Q5705	'Catalonia'@en	count	318
Q237	'Vatican City'@en	count	305
Q763	'Saint Kitts and Nevis'@en	count	305
Q1246	'Kosovo'@en	count	285
Q672	'Tuvalu'@en	count	266
Q891	'Nizhny Novgorod'@en	count	266
Q21203	'Aruba'@en	count	255
Q697	'Nauru'@en	count	253
Q25	'Wales'@en	count	250
Q16641	'American Samoa'@en	count	248
Q16957	'German Democratic Republic'@en	count	236
Q29999	'Kingdom of the Netherlands'@en	count	212
Q16644	'Northern Mariana Islands'@en	count	210
Q33946	'Czechoslovakia'@en	count	207
Q25279	'Curaçao'@en	count	200
Q2277	'Roman Empire'@en	count	193
Q28513	'Austria-Hungary'@en	count	188
Q133356	'Ukrainian Soviet Socialist Republic'@en	count	185
Q12544	'Byzantine Empire'@en	count	184
Q12548	'Holy Roman Empire'@en	count	166
Q26988	'Cook Islands'@en	count	160
Q907112	'Transnistria'@en	count	160
Q34020	'Niue'@en	count	157
Q12560	'Ottoman Empire'@en	count	155
Q34266	'Russian Empire'@en	count	146
Q13426199	'Republic of China'@en	count	144
Q36704	'Yugoslavia'@en	count	144
Q3908	'Galicia'@en	count	140
Q2184	'Russian Soviet Federative Socialist Republic'@en	count	139
Q26273	'Sint Maarten'@en	count	126
Q713750	'West Germany'@en	count	126
Q130280	'Estonian Soviet Socialist Republic'@en	count	125
Q27306	'Kingdom of Prussia'@en	count	123
Q41304	'Weimar Republic'@en	count	120
Q81931	'Confederate States of America'@en	count	118
Q7318	'Nazi Germany'@en	count	116
Q25227	'Netherlands Antilles'@en	count	115
