node1	node1;label	node2;wikidatatype	label	node2
P585	'point in time'@en	time	count	28940
P580	'start time'@en	time	count	10913
P805	'statement is subject of'@en	wikibase-item	count	8599
P518	'applies to part'@en	wikibase-item	count	7067
P582	'end time'@en	time	count	5344
P459	'determination method'@en	wikibase-item	count	4435
P1810	'subject named as'@en	string	count	2314
P407	'language of work or name'@en	wikibase-item	count	2115
P31	'instance of'@en	wikibase-item	count	914
P531	'diplomatic mission sent'@en	wikibase-item	count	708
P577	'publication date'@en	time	count	697
P366	'has use'@en	wikibase-item	count	503
P195	'collection'@en	wikibase-item	count	362
P4390	'mapping relation type'@en	wikibase-item	count	340
P2093	'author name string'@en	string	count	328
P3831	'object has role'@en	wikibase-item	count	312
P39	'position held'@en	wikibase-item	count	277
P478	'volume'@en	string	count	277
P1107	'proportion'@en	quantity	count	276
P642	'of'@en	wikibase-item	count	265
P2044	'elevation above sea level'@en	quantity	count	260
P1098	'number of speakers, writers, or signers'@en	quantity	count	244
P3680	'statement supported by'@en	wikibase-item	count	221
P1932	'object stated as'@en	string	count	215
P2144	'frequency'@en	quantity	count	214
P1545	'series ordinal'@en	string	count	207
P1264	'valid in period'@en	wikibase-item	count	203
P1365	'replaces'@en	wikibase-item	count	200
P102	'member of political party'@en	wikibase-item	count	186
P51	'audio'@en	commonsMedia	count	173
P2096	'media legend'@en	monolingualtext	count	170
P1366	'replaced by'@en	wikibase-item	count	165
P828	'has cause'@en	wikibase-item	count	165
P1552	'has quality'@en	wikibase-item	count	161
P2061	'aspect ratio (W:H)'@en	wikibase-item	count	155
P9675	'MediaWiki page ID'@en	string	count	152
P4970	'alternative name'@en	string	count	121
P1539	'female population'@en	quantity	count	112
P1540	'male population'@en	quantity	count	112
P837	'day in year for periodic occurrence'@en	wikibase-item	count	111
P5102	'nature of statement'@en	wikibase-item	count	108
P1480	'sourcing circumstances'@en	wikibase-item	count	107
P706	'located in/on physical feature'@en	wikibase-item	count	103
P1013	'criterion used'@en	wikibase-item	count	102
P747	'has edition or translation'@en	wikibase-item	count	102
P304	'page(s)'@en	string	count	94
P654	'direction relative to location'@en	wikibase-item	count	93
P1001	'applies to jurisdiction'@en	wikibase-item	count	92
P2868	'subject has role'@en	wikibase-item	count	85
P7452	'reason for preferred rank'@en	wikibase-item	count	81
P5592	'number of works accessible online'@en	quantity	count	76
P1942	'McCune-Reischauer romanization'@en	string	count	71
P2001	'Revised Romanization'@en	string	count	71
P527	'has part or parts'@en	wikibase-item	count	71
P2441	'literal translation'@en	monolingualtext	count	68
P276	'location'@en	wikibase-item	count	67
P6552	'Twitter user numeric ID'@en	external-id	count	66
P813	'retrieved'@en	time	count	65
P1534	'end cause'@en	wikibase-item	count	63
P3005	'valid in place'@en	wikibase-item	count	63
P1352	'ranking'@en	quantity	count	62
P625	'coordinate location'@en	globe-coordinate	count	56
P1011	'excluding'@en	wikibase-item	count	55
P4649	'identity of subject in context'@en	wikibase-item	count	47
P3744	'number of subscribers'@en	quantity	count	46
P1393	'proxy'@en	wikibase-item	count	40
P156	'followed by'@en	wikibase-item	count	37
P1310	'statement disputed by'@en	wikibase-item	count	36
P1943	'location map'@en	commonsMedia	count	36
P131	'located in the administrative territorial entity'@en	wikibase-item	count	35
P571	'inception'@en	time	count	35
P854	'reference URL'@en	url	count	30
P807	'separated from'@en	wikibase-item	count	26
P282	'writing system'@en	wikibase-item	count	25
P958	'section, verse, paragraph, or clause'@en	string	count	25
P3740	'number of works'@en	quantity	count	24
P1326	'latest date'@en	time	count	23
P92	'main regulatory text'@en	wikibase-item	count	23
P1319	'earliest date'@en	time	count	22
P1478	'has immediate cause'@en	wikibase-item	count	22
P8555	'latest start date'@en	time	count	22
P1012	'including'@en	wikibase-item	count	20
P1814	'name in kana'@en	string	count	20
P2125	'Revised Hepburn romanization'@en	string	count	20
P576	'dissolved, abolished or demolished date'@en	time	count	20
P790	'approved by'@en	wikibase-item	count	18
P155	'follows'@en	wikibase-item	count	17
P21	'sex or gender'@en	wikibase-item	count	16
P122	'basic form of government'@en	wikibase-item	count	13
