id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P35-Q40722-9755b85b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q40722	'Dilma Rousseff'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q40722-9755b85b-0-P39-Q5176750-0	Q155-P35-Q40722-9755b85b-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q40722-9755b85b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q40722	'Dilma Rousseff'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q40722-9755b85b-0-P459-Q985172-0	Q155-P35-Q40722-9755b85b-0		P459	'determination method'@en	Q985172	'2010 Brazilian presidential election'@en	wikibase-item								
Q155-P35-Q40722-9755b85b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q40722	'Dilma Rousseff'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q40722-9755b85b-0-P459-Q4958898-0	Q155-P35-Q40722-9755b85b-0		P459	'determination method'@en	Q4958898	'2014 Brazilian general election'@en	wikibase-item								
Q155-P35-Q40722-9755b85b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q40722	'Dilma Rousseff'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q40722-9755b85b-0-P580-8a194a-0	Q155-P35-Q40722-9755b85b-0		P580	'start time'@en	^2011-01-01T00:00:00Z/11		time								
Q155-P35-Q40722-9755b85b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q40722	'Dilma Rousseff'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q40722-9755b85b-0-P582-fe7de0-0	Q155-P35-Q40722-9755b85b-0		P582	'end time'@en	^2016-08-31T00:00:00Z/11		time								
Q155-P35-Q236503-8f926bc0-0	Q155	'Brazil'@en	P35	'head of state'@en	Q236503	'Fernando Collor de Mello'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q236503-8f926bc0-0-P39-Q5176750-0	Q155-P35-Q236503-8f926bc0-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q236503-8f926bc0-0	Q155	'Brazil'@en	P35	'head of state'@en	Q236503	'Fernando Collor de Mello'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q236503-8f926bc0-0-P459-Q3722531-0	Q155-P35-Q236503-8f926bc0-0		P459	'determination method'@en	Q3722531	'1989 Brazilian presidential election'@en	wikibase-item								
Q155-P35-Q236503-8f926bc0-0	Q155	'Brazil'@en	P35	'head of state'@en	Q236503	'Fernando Collor de Mello'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q236503-8f926bc0-0-P580-13ccac-0	Q155-P35-Q236503-8f926bc0-0		P580	'start time'@en	^1990-03-15T00:00:00Z/11		time								
Q155-P35-Q236503-8f926bc0-0	Q155	'Brazil'@en	P35	'head of state'@en	Q236503	'Fernando Collor de Mello'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q236503-8f926bc0-0-P582-b4c2f7-0	Q155-P35-Q236503-8f926bc0-0		P582	'end time'@en	^1992-10-02T00:00:00Z/11		time								
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P39-Q5176750-0	Q155-P35-Q230578-cbb0f2ec-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P459-Q4958829-0	Q155-P35-Q230578-cbb0f2ec-0		P459	'determination method'@en	Q4958829	'1994 Brazilian general election'@en	wikibase-item								
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P459-Q2346732-0	Q155-P35-Q230578-cbb0f2ec-0		P459	'determination method'@en	Q2346732	'1998 Brazilian general election'@en	wikibase-item								
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P580-bbd26e-0	Q155-P35-Q230578-cbb0f2ec-0		P580	'start time'@en	^1995-01-01T00:00:00Z/11		time								
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P582-7f5a51-0	Q155-P35-Q230578-cbb0f2ec-0		P582	'end time'@en	^2002-12-31T00:00:00Z/11		time								
