id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q96-P6-Q318508-9a982eb3-0	Q96	'Mexico'@en	P6	'head of government'@en	Q318508	'Andrés Manuel López Obrador'@en	wikibase-item
Q96-P1313-Q628004-d9cd26fa-0	Q96	'Mexico'@en	P1313	'office held by head of government'@en	Q628004	'President of Mexico'@en	wikibase-item
Q96-P6-Q296741-e0136617-0	Q96	'Mexico'@en	P6	'head of government'@en	Q296741	'Enrique Peña Nieto'@en	wikibase-item
Q96-P1313-Q628004-d9cd26fa-0	Q96	'Mexico'@en	P1313	'office held by head of government'@en	Q628004	'President of Mexico'@en	wikibase-item
Q96-P6-Q298149-ce74152c-0	Q96	'Mexico'@en	P6	'head of government'@en	Q298149	'Ernesto Zedillo'@en	wikibase-item
Q96-P1313-Q628004-d9cd26fa-0	Q96	'Mexico'@en	P1313	'office held by head of government'@en	Q628004	'President of Mexico'@en	wikibase-item
Q96-P6-Q57269-ea26eb99-0	Q96	'Mexico'@en	P6	'head of government'@en	Q57269	'Felipe Calderón'@en	wikibase-item
Q96-P1313-Q628004-d9cd26fa-0	Q96	'Mexico'@en	P1313	'office held by head of government'@en	Q628004	'President of Mexico'@en	wikibase-item
Q96-P6-Q190572-d67d7533-0	Q96	'Mexico'@en	P6	'head of government'@en	Q190572	'Vicente Fox Quesada'@en	wikibase-item
Q96-P1313-Q628004-d9cd26fa-0	Q96	'Mexico'@en	P1313	'office held by head of government'@en	Q628004	'President of Mexico'@en	wikibase-item
